제목,내용,카테고리,접수일시,processed_content
재난 대응 시스템 개선이 필요합니다,재난 대응 시스템 개선이 필요합니다. 사고 예방이 시급합니다.,안전,2024-11-23,재난 대응 시스템 개선이 사고 예방이
어린이 보호구역 안전시설을 강화해 주세요,어린이 보호구역 안전시설을 강화해 주세요. 사고 예방이 시급합니다.,안전,2024-11-23,어린이 보호구역 안전시설을 강화해 사고 예방이
생활 소음 규제를 강화해야 합니다,생활 소음 규제를 강화해야 합니다. 생활 환경이 악화되고 있습니다.,환경,2024-11-24,생활 소음 규제를 강화해야 생활 환경이 악화되고
생활 소음 규제를 강화해야 합니다,생활 소음 규제를 강화해야 합니다. 생활 환경이 악화되고 있습니다.,환경,2024-11-24,생활 소음 규제를 강화해야 생활 환경이 악화되고
복지 지원금 신청 절차가 복잡하여 어려움을 겪고 있습니다,복지 지원금 신청 절차가 복잡하여 어려움을 겪고 있습니다. 온라인 신청 시스템 개선이 시급합니다.,복지,2024-11-25,복지 지원금 신청 절차가 복잡하여 어려움을 겪고 온라인 신청 시스템 개선이
보육료 지원이 실제 필요한 가정에 제대로 전달되지 않습니다,보육료 지원이 실제 필요한 가정에 제대로 전달되지 않습니다. 담당 공무원의 안내가 부족합니다.,복지,2024-11-26,보육료 지원이 실제 필요한 가정에 제대로 전달되지 담당 공무원의 안내가
복지 지원금 신청 절차가 복잡하여 어려움을 겪고 있습니다,복지 지원금 신청 절차가 복잡하여 어려움을 겪고 있습니다. 담당 공무원의 안내가 부족합니다.,복지,2024-11-27,복지 지원금 신청 절차가 복잡하여 어려움을 겪고 담당 공무원의 안내가
가로등이 고장난 지 오래되었습니다,가로등이 고장난 지 오래되었습니다. 주민 불안감이 증가하고 있습니다.,안전,2024-11-27,가로등이 고장난 주민 불안감이 증가하고
가로등이 고장난 지 오래되었습니다,가로등이 고장난 지 오래되었습니다. 정기적인 점검이 필요합니다.,안전,2024-11-28,가로등이 고장난 정기적인 점검이
경기 성남시 지역 신호등 체계 개선이 필요합니다,경기 성남시 지역 신호등 체계 개선이 필요합니다. 장기적인 계획 수립을 요청합니다.,교통,2024-11-29,경기 성남시 지역 신호등 체계 개선이 장기적인 계획 수립을
공무원 응대 서비스 개선이 필요합니다,공무원 응대 서비스 개선이 필요합니다. 업무 효율성을 높여야 합니다.,행정,2024-11-29,공무원 응대 서비스 개선이 업무 효율성을 높여야
가로등이 고장난 지 오래되었습니다,가로등이 고장난 지 오래되었습니다. 정기적인 점검이 필요합니다.,안전,2024-11-29,가로등이 고장난 정기적인 점검이
경기 성남시 지역 신호등 체계 개선이 필요합니다,경기 성남시 지역 신호등 체계 개선이 필요합니다. 시민들의 불편이 가중되고 있습니다.,교통,2024-11-30,경기 성남시 지역 신호등 체계 개선이 시민들의 불편이 가중되고
경기 성남시 공원 관리가 제대로 되지 않고 있습니다,경기 성남시 공원 관리가 제대로 되지 않고 있습니다. 시민 참여 방안을 마련해 주세요.,환경,2024-12-01,경기 성남시 공원 관리가 제대로 되지 않고 시민 참여 방안을 마련해
도시 녹지 공간을 확대해 주세요,도시 녹지 공간을 확대해 주세요. 체계적인 관리가 필요합니다.,환경,2024-12-01,도시 녹지 공간을 확대해 체계적인 관리가
서류 발급 절차를 간소화해 주세요,서류 발급 절차를 간소화해 주세요. 업무 효율성을 높여야 합니다.,행정,2024-12-02,서류 발급 절차를 간소화해 업무 효율성을 높여야
노인 복지 서비스 확대가 필요합니다,노인 복지 서비스 확대가 필요합니다. 온라인 신청 시스템 개선이 시급합니다.,복지,2024-12-02,노인 복지 서비스 확대가 온라인 신청 시스템 개선이
경기 성남시 공원 관리가 제대로 되지 않고 있습니다,경기 성남시 공원 관리가 제대로 되지 않고 있습니다. 예산 확대가 시급합니다.,환경,2024-12-02,경기 성남시 공원 관리가 제대로 되지 않고 예산 확대가
민원 처리 속도가 너무 느립니다,민원 처리 속도가 너무 느립니다. 접근성을 개선해 주세요.,행정,2024-12-02,민원 처리 속도가 너무 접근성을 개선해
기초연금 수급 자격 기준이 너무 엄격합니다,기초연금 수급 자격 기준이 너무 엄격합니다. 담당 공무원의 안내가 부족합니다.,복지,2024-12-03,기초연금 수급 자격 기준이 너무 담당 공무원의 안내가
부산 해운대구 도로 포장 상태가 매우 불량합니다,부산 해운대구 도로 포장 상태가 매우 불량합니다. 긴급한 대책 마련이 필요합니다.,교통,2024-12-03,부산 해운대구 도로 포장 상태가 매우 긴급한 대책 마련이
기초연금 수급 자격 기준이 너무 엄격합니다,기초연금 수급 자격 기준이 너무 엄격합니다. 지역별 격차가 심각합니다.,복지,2024-12-03,기초연금 수급 자격 기준이 너무 지역별 격차가
세종시 지역 미세먼지 대책을 강화해 주세요,세종시 지역 미세먼지 대책을 강화해 주세요. 예산 확대가 시급합니다.,환경,2024-12-05,세종시 지역 미세먼지 대책을 강화해 예산 확대가
노인 복지 서비스 확대가 필요합니다,노인 복지 서비스 확대가 필요합니다. 담당 공무원의 안내가 부족합니다.,복지,2024-12-05,노인 복지 서비스 확대가 담당 공무원의 안내가
복지 지원금 신청 절차가 복잡하여 어려움을 겪고 있습니다,복지 지원금 신청 절차가 복잡하여 어려움을 겪고 있습니다. 담당 공무원의 안내가 부족합니다.,복지,2024-12-05,복지 지원금 신청 절차가 복잡하여 어려움을 겪고 담당 공무원의 안내가
도시 녹지 공간을 확대해 주세요,도시 녹지 공간을 확대해 주세요. 주민 건강이 위협받고 있습니다.,환경,2024-12-06,도시 녹지 공간을 확대해 주민 건강이 위협받고
대구 수성구 도로 포장 상태가 매우 불량합니다,대구 수성구 도로 포장 상태가 매우 불량합니다. 긴급한 대책 마련이 필요합니다.,교통,2024-12-07,대구 수성구 도로 포장 상태가 매우 긴급한 대책 마련이
경남 창원시 도로 포장 상태가 매우 불량합니다,경남 창원시 도로 포장 상태가 매우 불량합니다. 긴급한 대책 마련이 필요합니다.,교통,2024-12-07,경남 창원시 도로 포장 상태가 매우 긴급한 대책 마련이
도시 녹지 공간을 확대해 주세요,도시 녹지 공간을 확대해 주세요. 체계적인 관리가 필요합니다.,환경,2024-12-07,도시 녹지 공간을 확대해 체계적인 관리가
기초연금 수급 자격 기준이 너무 엄격합니다,기초연금 수급 자격 기준이 너무 엄격합니다. 담당 공무원의 안내가 부족합니다.,복지,2024-12-07,기초연금 수급 자격 기준이 너무 담당 공무원의 안내가
온라인 행정 시스템이 불편합니다,온라인 행정 시스템이 불편합니다. 투명성을 강화해야 합니다.,행정,2024-12-08,온라인 행정 시스템이 투명성을 강화해야
충북 청주시 지역 신호등 체계 개선이 필요합니다,충북 청주시 지역 신호등 체계 개선이 필요합니다. 경제적 손실이 발생하고 있습니다.,교통,2024-12-09,충북 청주시 지역 신호등 체계 개선이 경제적 손실이 발생하고
출퇴근 시간 대구 수성구 버스 배차 간격이 너무 깁니다,출퇴근 시간 대구 수성구 버스 배차 간격이 너무 깁니다. 사고 위험이 높아지고 있습니다.,교통,2024-12-10,출퇴근 시간 대구 수성구 버스 배차 간격이 너무 사고 위험이 높아지고
재난 대응 시스템 개선이 필요합니다,재난 대응 시스템 개선이 필요합니다. 신속한 조치를 요청합니다.,안전,2024-12-10,재난 대응 시스템 개선이 신속한 조치를
출퇴근 시간 광주 서구 버스 배차 간격이 너무 깁니다,출퇴근 시간 광주 서구 버스 배차 간격이 너무 깁니다. 시민들의 불편이 가중되고 있습니다.,교통,2024-12-10,출퇴근 시간 광주 서구 버스 배차 간격이 너무 시민들의 불편이 가중되고
노인 복지 서비스 확대가 필요합니다,노인 복지 서비스 확대가 필요합니다. 소득 기준을 현실화해야 합니다.,복지,2024-12-10,노인 복지 서비스 확대가 소득 기준을 현실화해야
의료비 지원 대상자 선정 기준을 완화해 주세요,의료비 지원 대상자 선정 기준을 완화해 주세요. 담당 공무원의 안내가 부족합니다.,복지,2024-12-11,의료비 지원 대상자 선정 기준을 완화해 담당 공무원의 안내가
경남 창원시 지역 신호등 체계 개선이 필요합니다,경남 창원시 지역 신호등 체계 개선이 필요합니다. 시민들의 불편이 가중되고 있습니다.,교통,2024-12-11,경남 창원시 지역 신호등 체계 개선이 시민들의 불편이 가중되고
충남 천안시 지역에 CCTV 설치를 요청합니다,충남 천안시 지역에 CCTV 설치를 요청합니다. 정기적인 점검이 필요합니다.,안전,2024-12-11,충남 천안시 지역에 설치를 정기적인 점검이
가로등이 고장난 지 오래되었습니다,가로등이 고장난 지 오래되었습니다. 정기적인 점검이 필요합니다.,안전,2024-12-11,가로등이 고장난 정기적인 점검이
재활용 분리수거 시스템 개선이 필요합니다,재활용 분리수거 시스템 개선이 필요합니다. 주민 건강이 위협받고 있습니다.,환경,2024-12-12,재활용 분리수거 시스템 개선이 주민 건강이 위협받고
보육료 지원이 실제 필요한 가정에 제대로 전달되지 않습니다,보육료 지원이 실제 필요한 가정에 제대로 전달되지 않습니다. 서류 준비 과정이 너무 복잡합니다.,복지,2024-12-12,보육료 지원이 실제 필요한 가정에 제대로 전달되지 서류 준비 과정이 너무
의료비 지원 대상자 선정 기준을 완화해 주세요,의료비 지원 대상자 선정 기준을 완화해 주세요. 온라인 신청 시스템 개선이 시급합니다.,복지,2024-12-12,의료비 지원 대상자 선정 기준을 완화해 온라인 신청 시스템 개선이
서류 발급 절차를 간소화해 주세요,서류 발급 절차를 간소화해 주세요. 시민 중심 서비스가 필요합니다.,행정,2024-12-12,서류 발급 절차를 간소화해 시민 중심 서비스가
대중교통 환승 시스템 개선이 필요합니다,대중교통 환승 시스템 개선이 필요합니다. 사고 위험이 높아지고 있습니다.,교통,2024-12-12,대중교통 환승 시스템 개선이 사고 위험이 높아지고
부산 해운대구 공원 관리가 제대로 되지 않고 있습니다,부산 해운대구 공원 관리가 제대로 되지 않고 있습니다. 체계적인 관리가 필요합니다.,환경,2024-12-13,부산 해운대구 공원 관리가 제대로 되지 않고 체계적인 관리가
대전 유성구 공원 관리가 제대로 되지 않고 있습니다,대전 유성구 공원 관리가 제대로 되지 않고 있습니다. 생활 환경이 악화되고 있습니다.,환경,2024-12-14,대전 유성구 공원 관리가 제대로 되지 않고 생활 환경이 악화되고
민원 처리 속도가 너무 느립니다,민원 처리 속도가 너무 느립니다. 접근성을 개선해 주세요.,행정,2024-12-14,민원 처리 속도가 너무 접근성을 개선해
공공시설 안전 점검을 철저히 해주세요,공공시설 안전 점검을 철저히 해주세요. 정기적인 점검이 필요합니다.,안전,2024-12-14,공공시설 안전 점검을 철저히 정기적인 점검이
민원 처리 속도가 너무 느립니다,민원 처리 속도가 너무 느립니다. 시민 중심 서비스가 필요합니다.,행정,2024-12-14,민원 처리 속도가 너무 시민 중심 서비스가
제주시 공원 관리가 제대로 되지 않고 있습니다,제주시 공원 관리가 제대로 되지 않고 있습니다. 생활 환경이 악화되고 있습니다.,환경,2024-12-15,제주시 공원 관리가 제대로 되지 않고 생활 환경이 악화되고
복지 지원금 신청 절차가 복잡하여 어려움을 겪고 있습니다,복지 지원금 신청 절차가 복잡하여 어려움을 겪고 있습니다. 온라인 신청 시스템 개선이 시급합니다.,복지,2024-12-15,복지 지원금 신청 절차가 복잡하여 어려움을 겪고 온라인 신청 시스템 개선이
재활용 분리수거 시스템 개선이 필요합니다,재활용 분리수거 시스템 개선이 필요합니다. 주민 건강이 위협받고 있습니다.,환경,2024-12-16,재활용 분리수거 시스템 개선이 주민 건강이 위협받고
생활 소음 규제를 강화해야 합니다,생활 소음 규제를 강화해야 합니다. 체계적인 관리가 필요합니다.,환경,2024-12-17,생활 소음 규제를 강화해야 체계적인 관리가
재난 대응 시스템 개선이 필요합니다,재난 대응 시스템 개선이 필요합니다. 사고 예방이 시급합니다.,안전,2024-12-19,재난 대응 시스템 개선이 사고 예방이
보육료 지원이 실제 필요한 가정에 제대로 전달되지 않습니다,보육료 지원이 실제 필요한 가정에 제대로 전달되지 않습니다. 담당 공무원의 안내가 부족합니다.,복지,2024-12-19,보육료 지원이 실제 필요한 가정에 제대로 전달되지 담당 공무원의 안내가
경기 용인시 도로 포장 상태가 매우 불량합니다,경기 용인시 도로 포장 상태가 매우 불량합니다. 시민들의 불편이 가중되고 있습니다.,교통,2024-12-19,경기 용인시 도로 포장 상태가 매우 시민들의 불편이 가중되고
도시 녹지 공간을 확대해 주세요,도시 녹지 공간을 확대해 주세요. 체계적인 관리가 필요합니다.,환경,2024-12-19,도시 녹지 공간을 확대해 체계적인 관리가
경기 수원시 공원 관리가 제대로 되지 않고 있습니다,경기 수원시 공원 관리가 제대로 되지 않고 있습니다. 예산 확대가 시급합니다.,환경,2024-12-20,경기 수원시 공원 관리가 제대로 되지 않고 예산 확대가
도시 녹지 공간을 확대해 주세요,도시 녹지 공간을 확대해 주세요. 체계적인 관리가 필요합니다.,환경,2024-12-20,도시 녹지 공간을 확대해 체계적인 관리가
생활 소음 규제를 강화해야 합니다,생활 소음 규제를 강화해야 합니다. 주민 건강이 위협받고 있습니다.,환경,2024-12-20,생활 소음 규제를 강화해야 주민 건강이 위협받고
도시 녹지 공간을 확대해 주세요,도시 녹지 공간을 확대해 주세요. 체계적인 관리가 필요합니다.,환경,2024-12-20,도시 녹지 공간을 확대해 체계적인 관리가
출퇴근 시간 서울 강남구 버스 배차 간격이 너무 깁니다,출퇴근 시간 서울 강남구 버스 배차 간격이 너무 깁니다. 시민들의 불편이 가중되고 있습니다.,교통,2024-12-21,출퇴근 시간 서울 강남구 버스 배차 간격이 너무 시민들의 불편이 가중되고
대중교통 환승 시스템 개선이 필요합니다,대중교통 환승 시스템 개선이 필요합니다. 사고 위험이 높아지고 있습니다.,교통,2024-12-22,대중교통 환승 시스템 개선이 사고 위험이 높아지고
공공시설 안전 점검을 철저히 해주세요,공공시설 안전 점검을 철저히 해주세요. 주민 불안감이 증가하고 있습니다.,안전,2024-12-22,공공시설 안전 점검을 철저히 주민 불안감이 증가하고
전남 여수시 도로 포장 상태가 매우 불량합니다,전남 여수시 도로 포장 상태가 매우 불량합니다. 사고 위험이 높아지고 있습니다.,교통,2024-12-23,전남 여수시 도로 포장 상태가 매우 사고 위험이 높아지고
행정 정보 공개를 확대해 주세요,행정 정보 공개를 확대해 주세요. 접근성을 개선해 주세요.,행정,2024-12-23,행정 정보 공개를 확대해 접근성을 개선해
대구 수성구 지역에 CCTV 설치를 요청합니다,대구 수성구 지역에 CCTV 설치를 요청합니다. 사고 예방이 시급합니다.,안전,2024-12-24,대구 수성구 지역에 설치를 사고 예방이
전남 여수시 도로 포장 상태가 매우 불량합니다,전남 여수시 도로 포장 상태가 매우 불량합니다. 사고 위험이 높아지고 있습니다.,교통,2024-12-26,전남 여수시 도로 포장 상태가 매우 사고 위험이 높아지고
도시 녹지 공간을 확대해 주세요,도시 녹지 공간을 확대해 주세요. 주민 건강이 위협받고 있습니다.,환경,2024-12-26,도시 녹지 공간을 확대해 주민 건강이 위협받고
어린이 보호구역 안전시설을 강화해 주세요,어린이 보호구역 안전시설을 강화해 주세요. 신속한 조치를 요청합니다.,안전,2024-12-26,어린이 보호구역 안전시설을 강화해 신속한 조치를
가로등이 고장난 지 오래되었습니다,가로등이 고장난 지 오래되었습니다. 예방 대책을 마련해 주세요.,안전,2024-12-26,가로등이 고장난 예방 대책을 마련해
행정 정보 공개를 확대해 주세요,행정 정보 공개를 확대해 주세요. 시민 중심 서비스가 필요합니다.,행정,2024-12-27,행정 정보 공개를 확대해 시민 중심 서비스가
출퇴근 시간 서울 강북구 버스 배차 간격이 너무 깁니다,출퇴근 시간 서울 강북구 버스 배차 간격이 너무 깁니다. 경제적 손실이 발생하고 있습니다.,교통,2024-12-28,출퇴근 시간 서울 강북구 버스 배차 간격이 너무 경제적 손실이 발생하고
강원 춘천시 공원 관리가 제대로 되지 않고 있습니다,강원 춘천시 공원 관리가 제대로 되지 않고 있습니다. 시민 참여 방안을 마련해 주세요.,환경,2024-12-29,강원 춘천시 공원 관리가 제대로 되지 않고 시민 참여 방안을 마련해
공공시설 안전 점검을 철저히 해주세요,공공시설 안전 점검을 철저히 해주세요. 사고 예방이 시급합니다.,안전,2024-12-30,공공시설 안전 점검을 철저히 사고 예방이
재활용 분리수거 시스템 개선이 필요합니다,재활용 분리수거 시스템 개선이 필요합니다. 체계적인 관리가 필요합니다.,환경,2024-12-30,재활용 분리수거 시스템 개선이 체계적인 관리가
온라인 행정 시스템이 불편합니다,온라인 행정 시스템이 불편합니다. 디지털 전환이 시급합니다.,행정,2025-01-01,온라인 행정 시스템이 디지털 전환이
대구 수성구 지역 미세먼지 대책을 강화해 주세요,대구 수성구 지역 미세먼지 대책을 강화해 주세요. 예산 확대가 시급합니다.,환경,2025-01-02,대구 수성구 지역 미세먼지 대책을 강화해 예산 확대가
부산 해운대구 지역에 CCTV 설치를 요청합니다,부산 해운대구 지역에 CCTV 설치를 요청합니다. 예방 대책을 마련해 주세요.,안전,2025-01-03,부산 해운대구 지역에 설치를 예방 대책을 마련해
행정 정보 공개를 확대해 주세요,행정 정보 공개를 확대해 주세요. 업무 효율성을 높여야 합니다.,행정,2025-01-03,행정 정보 공개를 확대해 업무 효율성을 높여야
경기 수원시 지역 신호등 체계 개선이 필요합니다,경기 수원시 지역 신호등 체계 개선이 필요합니다. 시민들의 불편이 가중되고 있습니다.,교통,2025-01-04,경기 수원시 지역 신호등 체계 개선이 시민들의 불편이 가중되고
출퇴근 시간 경기 수원시 버스 배차 간격이 너무 깁니다,출퇴근 시간 경기 수원시 버스 배차 간격이 너무 깁니다. 시민들의 불편이 가중되고 있습니다.,교통,2025-01-04,출퇴근 시간 경기 수원시 버스 배차 간격이 너무 시민들의 불편이 가중되고
보육료 지원이 실제 필요한 가정에 제대로 전달되지 않습니다,보육료 지원이 실제 필요한 가정에 제대로 전달되지 않습니다. 지역별 격차가 심각합니다.,복지,2025-01-04,보육료 지원이 실제 필요한 가정에 제대로 전달되지 지역별 격차가
복지 지원금 신청 절차가 복잡하여 어려움을 겪고 있습니다,복지 지원금 신청 절차가 복잡하여 어려움을 겪고 있습니다. 담당 공무원의 안내가 부족합니다.,복지,2025-01-05,복지 지원금 신청 절차가 복잡하여 어려움을 겪고 담당 공무원의 안내가
기초연금 수급 자격 기준이 너무 엄격합니다,기초연금 수급 자격 기준이 너무 엄격합니다. 소득 기준을 현실화해야 합니다.,복지,2025-01-05,기초연금 수급 자격 기준이 너무 소득 기준을 현실화해야
서울 강남구 공원 관리가 제대로 되지 않고 있습니다,서울 강남구 공원 관리가 제대로 되지 않고 있습니다. 주민 건강이 위협받고 있습니다.,환경,2025-01-05,서울 강남구 공원 관리가 제대로 되지 않고 주민 건강이 위협받고
경기 용인시 지역 미세먼지 대책을 강화해 주세요,경기 용인시 지역 미세먼지 대책을 강화해 주세요. 예산 확대가 시급합니다.,환경,2025-01-06,경기 용인시 지역 미세먼지 대책을 강화해 예산 확대가
행정 정보 공개를 확대해 주세요,행정 정보 공개를 확대해 주세요. 디지털 전환이 시급합니다.,행정,2025-01-08,행정 정보 공개를 확대해 디지털 전환이
서류 발급 절차를 간소화해 주세요,서류 발급 절차를 간소화해 주세요. 디지털 전환이 시급합니다.,행정,2025-01-08,서류 발급 절차를 간소화해 디지털 전환이
의료비 지원 대상자 선정 기준을 완화해 주세요,의료비 지원 대상자 선정 기준을 완화해 주세요. 온라인 신청 시스템 개선이 시급합니다.,복지,2025-01-08,의료비 지원 대상자 선정 기준을 완화해 온라인 신청 시스템 개선이
도시 녹지 공간을 확대해 주세요,도시 녹지 공간을 확대해 주세요. 시민 참여 방안을 마련해 주세요.,환경,2025-01-09,도시 녹지 공간을 확대해 시민 참여 방안을 마련해
경기 수원시 도로 포장 상태가 매우 불량합니다,경기 수원시 도로 포장 상태가 매우 불량합니다. 장기적인 계획 수립을 요청합니다.,교통,2025-01-10,경기 수원시 도로 포장 상태가 매우 장기적인 계획 수립을
서류 발급 절차를 간소화해 주세요,서류 발급 절차를 간소화해 주세요. 업무 효율성을 높여야 합니다.,행정,2025-01-10,서류 발급 절차를 간소화해 업무 효율성을 높여야
생활 소음 규제를 강화해야 합니다,생활 소음 규제를 강화해야 합니다. 시민 참여 방안을 마련해 주세요.,환경,2025-01-11,생활 소음 규제를 강화해야 시민 참여 방안을 마련해
보육료 지원이 실제 필요한 가정에 제대로 전달되지 않습니다,보육료 지원이 실제 필요한 가정에 제대로 전달되지 않습니다. 서류 준비 과정이 너무 복잡합니다.,복지,2025-01-11,보육료 지원이 실제 필요한 가정에 제대로 전달되지 서류 준비 과정이 너무
복지 지원금 신청 절차가 복잡하여 어려움을 겪고 있습니다,복지 지원금 신청 절차가 복잡하여 어려움을 겪고 있습니다. 온라인 신청 시스템 개선이 시급합니다.,복지,2025-01-12,복지 지원금 신청 절차가 복잡하여 어려움을 겪고 온라인 신청 시스템 개선이
전남 여수시 공원 관리가 제대로 되지 않고 있습니다,전남 여수시 공원 관리가 제대로 되지 않고 있습니다. 시민 참여 방안을 마련해 주세요.,환경,2025-01-12,전남 여수시 공원 관리가 제대로 되지 않고 시민 참여 방안을 마련해
공공시설 안전 점검을 철저히 해주세요,공공시설 안전 점검을 철저히 해주세요. 주민 불안감이 증가하고 있습니다.,안전,2025-01-13,공공시설 안전 점검을 철저히 주민 불안감이 증가하고
도시 녹지 공간을 확대해 주세요,도시 녹지 공간을 확대해 주세요. 체계적인 관리가 필요합니다.,환경,2025-01-14,도시 녹지 공간을 확대해 체계적인 관리가
전남 여수시 지역 신호등 체계 개선이 필요합니다,전남 여수시 지역 신호등 체계 개선이 필요합니다. 긴급한 대책 마련이 필요합니다.,교통,2025-01-16,전남 여수시 지역 신호등 체계 개선이 긴급한 대책 마련이
재난 대응 시스템 개선이 필요합니다,재난 대응 시스템 개선이 필요합니다. 주민 불안감이 증가하고 있습니다.,안전,2025-01-16,재난 대응 시스템 개선이 주민 불안감이 증가하고
공무원 응대 서비스 개선이 필요합니다,공무원 응대 서비스 개선이 필요합니다. 접근성을 개선해 주세요.,행정,2025-01-16,공무원 응대 서비스 개선이 접근성을 개선해
의료비 지원 대상자 선정 기준을 완화해 주세요,의료비 지원 대상자 선정 기준을 완화해 주세요. 지역별 격차가 심각합니다.,복지,2025-01-18,의료비 지원 대상자 선정 기준을 완화해 지역별 격차가
재난 대응 시스템 개선이 필요합니다,재난 대응 시스템 개선이 필요합니다. 신속한 조치를 요청합니다.,안전,2025-01-18,재난 대응 시스템 개선이 신속한 조치를
도시 녹지 공간을 확대해 주세요,도시 녹지 공간을 확대해 주세요. 체계적인 관리가 필요합니다.,환경,2025-01-18,도시 녹지 공간을 확대해 체계적인 관리가
제주시 공원 관리가 제대로 되지 않고 있습니다,제주시 공원 관리가 제대로 되지 않고 있습니다. 생활 환경이 악화되고 있습니다.,환경,2025-01-19,제주시 공원 관리가 제대로 되지 않고 생활 환경이 악화되고
재난 대응 시스템 개선이 필요합니다,재난 대응 시스템 개선이 필요합니다. 신속한 조치를 요청합니다.,안전,2025-01-19,재난 대응 시스템 개선이 신속한 조치를
기초연금 수급 자격 기준이 너무 엄격합니다,기초연금 수급 자격 기준이 너무 엄격합니다. 지역별 격차가 심각합니다.,복지,2025-01-19,기초연금 수급 자격 기준이 너무 지역별 격차가
대구 수성구 지역 미세먼지 대책을 강화해 주세요,대구 수성구 지역 미세먼지 대책을 강화해 주세요. 예산 확대가 시급합니다.,환경,2025-01-20,대구 수성구 지역 미세먼지 대책을 강화해 예산 확대가
재난 대응 시스템 개선이 필요합니다,재난 대응 시스템 개선이 필요합니다. 예방 대책을 마련해 주세요.,안전,2025-01-20,재난 대응 시스템 개선이 예방 대책을 마련해
공무원 응대 서비스 개선이 필요합니다,공무원 응대 서비스 개선이 필요합니다. 업무 효율성을 높여야 합니다.,행정,2025-01-20,공무원 응대 서비스 개선이 업무 효율성을 높여야
민원 처리 속도가 너무 느립니다,민원 처리 속도가 너무 느립니다. 시민 중심 서비스가 필요합니다.,행정,2025-01-21,민원 처리 속도가 너무 시민 중심 서비스가
출퇴근 시간 경남 창원시 버스 배차 간격이 너무 깁니다,출퇴근 시간 경남 창원시 버스 배차 간격이 너무 깁니다. 사고 위험이 높아지고 있습니다.,교통,2025-01-22,출퇴근 시간 경남 창원시 버스 배차 간격이 너무 사고 위험이 높아지고
경기 수원시 지역 미세먼지 대책을 강화해 주세요,경기 수원시 지역 미세먼지 대책을 강화해 주세요. 체계적인 관리가 필요합니다.,환경,2025-01-22,경기 수원시 지역 미세먼지 대책을 강화해 체계적인 관리가
