제목,내용,카테고리,접수일시,processed_content
공공시설 안전 점검을 철저히 해주세요,공공시설 안전 점검을 철저히 해주세요. 예방 대책을 마련해 주세요.,안전,2025-01-22,공공시설 안전 점검을 철저히 예방 대책을 마련해
충남 천안시 지역 미세먼지 대책을 강화해 주세요,충남 천안시 지역 미세먼지 대책을 강화해 주세요. 생활 환경이 악화되고 있습니다.,환경,2025-01-24,충남 천안시 지역 미세먼지 대책을 강화해 생활 환경이 악화되고
대전 유성구 지역 미세먼지 대책을 강화해 주세요,대전 유성구 지역 미세먼지 대책을 강화해 주세요. 생활 환경이 악화되고 있습니다.,환경,2025-01-25,대전 유성구 지역 미세먼지 대책을 강화해 생활 환경이 악화되고
대중교통 환승 시스템 개선이 필요합니다,대중교통 환승 시스템 개선이 필요합니다. 시민들의 불편이 가중되고 있습니다.,교통,2025-01-25,대중교통 환승 시스템 개선이 시민들의 불편이 가중되고
생활 소음 규제를 강화해야 합니다,생활 소음 규제를 강화해야 합니다. 생활 환경이 악화되고 있습니다.,환경,2025-01-27,생활 소음 규제를 강화해야 생활 환경이 악화되고
공공시설 안전 점검을 철저히 해주세요,공공시설 안전 점검을 철저히 해주세요. 정기적인 점검이 필요합니다.,안전,2025-01-27,공공시설 안전 점검을 철저히 정기적인 점검이
복지 지원금 신청 절차가 복잡하여 어려움을 겪고 있습니다,복지 지원금 신청 절차가 복잡하여 어려움을 겪고 있습니다. 담당 공무원의 안내가 부족합니다.,복지,2025-01-27,복지 지원금 신청 절차가 복잡하여 어려움을 겪고 담당 공무원의 안내가
의료비 지원 대상자 선정 기준을 완화해 주세요,의료비 지원 대상자 선정 기준을 완화해 주세요. 담당 공무원의 안내가 부족합니다.,복지,2025-01-28,의료비 지원 대상자 선정 기준을 완화해 담당 공무원의 안내가
기초연금 수급 자격 기준이 너무 엄격합니다,기초연금 수급 자격 기준이 너무 엄격합니다. 담당 공무원의 안내가 부족합니다.,복지,2025-01-28,기초연금 수급 자격 기준이 너무 담당 공무원의 안내가
복지 지원금 신청 절차가 복잡하여 어려움을 겪고 있습니다,복지 지원금 신청 절차가 복잡하여 어려움을 겪고 있습니다. 서류 준비 과정이 너무 복잡합니다.,복지,2025-01-28,복지 지원금 신청 절차가 복잡하여 어려움을 겪고 서류 준비 과정이 너무
가로등이 고장난 지 오래되었습니다,가로등이 고장난 지 오래되었습니다. 사고 예방이 시급합니다.,안전,2025-01-29,가로등이 고장난 사고 예방이
복지 지원금 신청 절차가 복잡하여 어려움을 겪고 있습니다,복지 지원금 신청 절차가 복잡하여 어려움을 겪고 있습니다. 담당 공무원의 안내가 부족합니다.,복지,2025-01-29,복지 지원금 신청 절차가 복잡하여 어려움을 겪고 담당 공무원의 안내가
어린이 보호구역 안전시설을 강화해 주세요,어린이 보호구역 안전시설을 강화해 주세요. 정기적인 점검이 필요합니다.,안전,2025-01-30,어린이 보호구역 안전시설을 강화해 정기적인 점검이
주차 공간 부족 문제를 해결해 주세요,주차 공간 부족 문제를 해결해 주세요. 사고 위험이 높아지고 있습니다.,교통,2025-01-30,주차 공간 부족 문제를 해결해 사고 위험이 높아지고
경남 창원시 지역에 CCTV 설치를 요청합니다,경남 창원시 지역에 CCTV 설치를 요청합니다. 신속한 조치를 요청합니다.,안전,2025-01-30,경남 창원시 지역에 설치를 신속한 조치를
서울 강북구 지역 신호등 체계 개선이 필요합니다,서울 강북구 지역 신호등 체계 개선이 필요합니다. 장기적인 계획 수립을 요청합니다.,교통,2025-02-01,서울 강북구 지역 신호등 체계 개선이 장기적인 계획 수립을
온라인 행정 시스템이 불편합니다,온라인 행정 시스템이 불편합니다. 시민 중심 서비스가 필요합니다.,행정,2025-02-01,온라인 행정 시스템이 시민 중심 서비스가
가로등이 고장난 지 오래되었습니다,가로등이 고장난 지 오래되었습니다. 사고 예방이 시급합니다.,안전,2025-02-02,가로등이 고장난 사고 예방이
서울 강북구 공원 관리가 제대로 되지 않고 있습니다,서울 강북구 공원 관리가 제대로 되지 않고 있습니다. 주민 건강이 위협받고 있습니다.,환경,2025-02-02,서울 강북구 공원 관리가 제대로 되지 않고 주민 건강이 위협받고
재난 대응 시스템 개선이 필요합니다,재난 대응 시스템 개선이 필요합니다. 사고 예방이 시급합니다.,안전,2025-02-02,재난 대응 시스템 개선이 사고 예방이
재활용 분리수거 시스템 개선이 필요합니다,재활용 분리수거 시스템 개선이 필요합니다. 시민 참여 방안을 마련해 주세요.,환경,2025-02-03,재활용 분리수거 시스템 개선이 시민 참여 방안을 마련해
온라인 행정 시스템이 불편합니다,온라인 행정 시스템이 불편합니다. 접근성을 개선해 주세요.,행정,2025-02-03,온라인 행정 시스템이 접근성을 개선해
인천 연수구 도로 포장 상태가 매우 불량합니다,인천 연수구 도로 포장 상태가 매우 불량합니다. 장기적인 계획 수립을 요청합니다.,교통,2025-02-04,인천 연수구 도로 포장 상태가 매우 장기적인 계획 수립을
공무원 응대 서비스 개선이 필요합니다,공무원 응대 서비스 개선이 필요합니다. 디지털 전환이 시급합니다.,행정,2025-02-04,공무원 응대 서비스 개선이 디지털 전환이
서류 발급 절차를 간소화해 주세요,서류 발급 절차를 간소화해 주세요. 디지털 전환이 시급합니다.,행정,2025-02-04,서류 발급 절차를 간소화해 디지털 전환이
어린이 보호구역 안전시설을 강화해 주세요,어린이 보호구역 안전시설을 강화해 주세요. 신속한 조치를 요청합니다.,안전,2025-02-04,어린이 보호구역 안전시설을 강화해 신속한 조치를
충북 청주시 지역 신호등 체계 개선이 필요합니다,충북 청주시 지역 신호등 체계 개선이 필요합니다. 경제적 손실이 발생하고 있습니다.,교통,2025-02-05,충북 청주시 지역 신호등 체계 개선이 경제적 손실이 발생하고
울산 남구 지역 미세먼지 대책을 강화해 주세요,울산 남구 지역 미세먼지 대책을 강화해 주세요. 주민 건강이 위협받고 있습니다.,환경,2025-02-05,울산 남구 지역 미세먼지 대책을 강화해 주민 건강이 위협받고
광주 서구 도로 포장 상태가 매우 불량합니다,광주 서구 도로 포장 상태가 매우 불량합니다. 긴급한 대책 마련이 필요합니다.,교통,2025-02-05,광주 서구 도로 포장 상태가 매우 긴급한 대책 마련이
공공시설 안전 점검을 철저히 해주세요,공공시설 안전 점검을 철저히 해주세요. 신속한 조치를 요청합니다.,안전,2025-02-06,공공시설 안전 점검을 철저히 신속한 조치를
노인 복지 서비스 확대가 필요합니다,노인 복지 서비스 확대가 필요합니다. 소득 기준을 현실화해야 합니다.,복지,2025-02-06,노인 복지 서비스 확대가 소득 기준을 현실화해야
경기 성남시 지역 미세먼지 대책을 강화해 주세요,경기 성남시 지역 미세먼지 대책을 강화해 주세요. 체계적인 관리가 필요합니다.,환경,2025-02-06,경기 성남시 지역 미세먼지 대책을 강화해 체계적인 관리가
도시 녹지 공간을 확대해 주세요,도시 녹지 공간을 확대해 주세요. 생활 환경이 악화되고 있습니다.,환경,2025-02-07,도시 녹지 공간을 확대해 생활 환경이 악화되고
보육료 지원이 실제 필요한 가정에 제대로 전달되지 않습니다,보육료 지원이 실제 필요한 가정에 제대로 전달되지 않습니다. 서류 준비 과정이 너무 복잡합니다.,복지,2025-02-07,보육료 지원이 실제 필요한 가정에 제대로 전달되지 서류 준비 과정이 너무
복지 지원금 신청 절차가 복잡하여 어려움을 겪고 있습니다,복지 지원금 신청 절차가 복잡하여 어려움을 겪고 있습니다. 담당 공무원의 안내가 부족합니다.,복지,2025-02-07,복지 지원금 신청 절차가 복잡하여 어려움을 겪고 담당 공무원의 안내가
공공시설 안전 점검을 철저히 해주세요,공공시설 안전 점검을 철저히 해주세요. 신속한 조치를 요청합니다.,안전,2025-02-07,공공시설 안전 점검을 철저히 신속한 조치를
재난 대응 시스템 개선이 필요합니다,재난 대응 시스템 개선이 필요합니다. 신속한 조치를 요청합니다.,안전,2025-02-08,재난 대응 시스템 개선이 신속한 조치를
대중교통 환승 시스템 개선이 필요합니다,대중교통 환승 시스템 개선이 필요합니다. 사고 위험이 높아지고 있습니다.,교통,2025-02-09,대중교통 환승 시스템 개선이 사고 위험이 높아지고
복지 지원금 신청 절차가 복잡하여 어려움을 겪고 있습니다,복지 지원금 신청 절차가 복잡하여 어려움을 겪고 있습니다. 담당 공무원의 안내가 부족합니다.,복지,2025-02-10,복지 지원금 신청 절차가 복잡하여 어려움을 겪고 담당 공무원의 안내가
공공시설 안전 점검을 철저히 해주세요,공공시설 안전 점검을 철저히 해주세요. 정기적인 점검이 필요합니다.,안전,2025-02-12,공공시설 안전 점검을 철저히 정기적인 점검이
재난 대응 시스템 개선이 필요합니다,재난 대응 시스템 개선이 필요합니다. 신속한 조치를 요청합니다.,안전,2025-02-12,재난 대응 시스템 개선이 신속한 조치를
대중교통 환승 시스템 개선이 필요합니다,대중교통 환승 시스템 개선이 필요합니다. 긴급한 대책 마련이 필요합니다.,교통,2025-02-12,대중교통 환승 시스템 개선이 긴급한 대책 마련이
인천 연수구 도로 포장 상태가 매우 불량합니다,인천 연수구 도로 포장 상태가 매우 불량합니다. 시민들의 불편이 가중되고 있습니다.,교통,2025-02-12,인천 연수구 도로 포장 상태가 매우 시민들의 불편이 가중되고
서류 발급 절차를 간소화해 주세요,서류 발급 절차를 간소화해 주세요. 시민 중심 서비스가 필요합니다.,행정,2025-02-12,서류 발급 절차를 간소화해 시민 중심 서비스가
출퇴근 시간 부산 해운대구 버스 배차 간격이 너무 깁니다,출퇴근 시간 부산 해운대구 버스 배차 간격이 너무 깁니다. 사고 위험이 높아지고 있습니다.,교통,2025-02-12,출퇴근 시간 부산 해운대구 버스 배차 간격이 너무 사고 위험이 높아지고
충북 청주시 도로 포장 상태가 매우 불량합니다,충북 청주시 도로 포장 상태가 매우 불량합니다. 시민들의 불편이 가중되고 있습니다.,교통,2025-02-12,충북 청주시 도로 포장 상태가 매우 시민들의 불편이 가중되고
생활 소음 규제를 강화해야 합니다,생활 소음 규제를 강화해야 합니다. 예산 확대가 시급합니다.,환경,2025-02-13,생활 소음 규제를 강화해야 예산 확대가
온라인 행정 시스템이 불편합니다,온라인 행정 시스템이 불편합니다. 투명성을 강화해야 합니다.,행정,2025-02-13,온라인 행정 시스템이 투명성을 강화해야
공공시설 안전 점검을 철저히 해주세요,공공시설 안전 점검을 철저히 해주세요. 신속한 조치를 요청합니다.,안전,2025-02-13,공공시설 안전 점검을 철저히 신속한 조치를
경기 수원시 지역 미세먼지 대책을 강화해 주세요,경기 수원시 지역 미세먼지 대책을 강화해 주세요. 예산 확대가 시급합니다.,환경,2025-02-13,경기 수원시 지역 미세먼지 대책을 강화해 예산 확대가
주차 공간 부족 문제를 해결해 주세요,주차 공간 부족 문제를 해결해 주세요. 시민들의 불편이 가중되고 있습니다.,교통,2025-02-13,주차 공간 부족 문제를 해결해 시민들의 불편이 가중되고
출퇴근 시간 경남 창원시 버스 배차 간격이 너무 깁니다,출퇴근 시간 경남 창원시 버스 배차 간격이 너무 깁니다. 장기적인 계획 수립을 요청합니다.,교통,2025-02-14,출퇴근 시간 경남 창원시 버스 배차 간격이 너무 장기적인 계획 수립을
의료비 지원 대상자 선정 기준을 완화해 주세요,의료비 지원 대상자 선정 기준을 완화해 주세요. 서류 준비 과정이 너무 복잡합니다.,복지,2025-02-15,의료비 지원 대상자 선정 기준을 완화해 서류 준비 과정이 너무
민원 처리 속도가 너무 느립니다,민원 처리 속도가 너무 느립니다. 업무 효율성을 높여야 합니다.,행정,2025-02-17,민원 처리 속도가 너무 업무 효율성을 높여야
의료비 지원 대상자 선정 기준을 완화해 주세요,의료비 지원 대상자 선정 기준을 완화해 주세요. 담당 공무원의 안내가 부족합니다.,복지,2025-02-17,의료비 지원 대상자 선정 기준을 완화해 담당 공무원의 안내가
울산 남구 공원 관리가 제대로 되지 않고 있습니다,울산 남구 공원 관리가 제대로 되지 않고 있습니다. 예산 확대가 시급합니다.,환경,2025-02-18,울산 남구 공원 관리가 제대로 되지 않고 예산 확대가
공공시설 안전 점검을 철저히 해주세요,공공시설 안전 점검을 철저히 해주세요. 정기적인 점검이 필요합니다.,안전,2025-02-18,공공시설 안전 점검을 철저히 정기적인 점검이
주차 공간 부족 문제를 해결해 주세요,주차 공간 부족 문제를 해결해 주세요. 장기적인 계획 수립을 요청합니다.,교통,2025-02-18,주차 공간 부족 문제를 해결해 장기적인 계획 수립을
전남 여수시 공원 관리가 제대로 되지 않고 있습니다,전남 여수시 공원 관리가 제대로 되지 않고 있습니다. 시민 참여 방안을 마련해 주세요.,환경,2025-02-19,전남 여수시 공원 관리가 제대로 되지 않고 시민 참여 방안을 마련해
공무원 응대 서비스 개선이 필요합니다,공무원 응대 서비스 개선이 필요합니다. 시민 중심 서비스가 필요합니다.,행정,2025-02-19,공무원 응대 서비스 개선이 시민 중심 서비스가
가로등이 고장난 지 오래되었습니다,가로등이 고장난 지 오래되었습니다. 정기적인 점검이 필요합니다.,안전,2025-02-20,가로등이 고장난 정기적인 점검이
생활 소음 규제를 강화해야 합니다,생활 소음 규제를 강화해야 합니다. 생활 환경이 악화되고 있습니다.,환경,2025-02-20,생활 소음 규제를 강화해야 생활 환경이 악화되고
행정 정보 공개를 확대해 주세요,행정 정보 공개를 확대해 주세요. 투명성을 강화해야 합니다.,행정,2025-02-20,행정 정보 공개를 확대해 투명성을 강화해야
재난 대응 시스템 개선이 필요합니다,재난 대응 시스템 개선이 필요합니다. 정기적인 점검이 필요합니다.,안전,2025-02-20,재난 대응 시스템 개선이 정기적인 점검이
기초연금 수급 자격 기준이 너무 엄격합니다,기초연금 수급 자격 기준이 너무 엄격합니다. 온라인 신청 시스템 개선이 시급합니다.,복지,2025-02-20,기초연금 수급 자격 기준이 너무 온라인 신청 시스템 개선이
공무원 응대 서비스 개선이 필요합니다,공무원 응대 서비스 개선이 필요합니다. 디지털 전환이 시급합니다.,행정,2025-02-20,공무원 응대 서비스 개선이 디지털 전환이
기초연금 수급 자격 기준이 너무 엄격합니다,기초연금 수급 자격 기준이 너무 엄격합니다. 온라인 신청 시스템 개선이 시급합니다.,복지,2025-02-20,기초연금 수급 자격 기준이 너무 온라인 신청 시스템 개선이
공무원 응대 서비스 개선이 필요합니다,공무원 응대 서비스 개선이 필요합니다. 시민 중심 서비스가 필요합니다.,행정,2025-02-22,공무원 응대 서비스 개선이 시민 중심 서비스가
기초연금 수급 자격 기준이 너무 엄격합니다,기초연금 수급 자격 기준이 너무 엄격합니다. 소득 기준을 현실화해야 합니다.,복지,2025-02-23,기초연금 수급 자격 기준이 너무 소득 기준을 현실화해야
어린이 보호구역 안전시설을 강화해 주세요,어린이 보호구역 안전시설을 강화해 주세요. 주민 불안감이 증가하고 있습니다.,안전,2025-02-23,어린이 보호구역 안전시설을 강화해 주민 불안감이 증가하고
서류 발급 절차를 간소화해 주세요,서류 발급 절차를 간소화해 주세요. 시민 중심 서비스가 필요합니다.,행정,2025-02-24,서류 발급 절차를 간소화해 시민 중심 서비스가
경기 용인시 지역 미세먼지 대책을 강화해 주세요,경기 용인시 지역 미세먼지 대책을 강화해 주세요. 생활 환경이 악화되고 있습니다.,환경,2025-02-25,경기 용인시 지역 미세먼지 대책을 강화해 생활 환경이 악화되고
공무원 응대 서비스 개선이 필요합니다,공무원 응대 서비스 개선이 필요합니다. 디지털 전환이 시급합니다.,행정,2025-02-25,공무원 응대 서비스 개선이 디지털 전환이
도시 녹지 공간을 확대해 주세요,도시 녹지 공간을 확대해 주세요. 예산 확대가 시급합니다.,환경,2025-02-26,도시 녹지 공간을 확대해 예산 확대가
민원 처리 속도가 너무 느립니다,민원 처리 속도가 너무 느립니다. 접근성을 개선해 주세요.,행정,2025-02-27,민원 처리 속도가 너무 접근성을 개선해
가로등이 고장난 지 오래되었습니다,가로등이 고장난 지 오래되었습니다. 사고 예방이 시급합니다.,안전,2025-02-27,가로등이 고장난 사고 예방이
대중교통 환승 시스템 개선이 필요합니다,대중교통 환승 시스템 개선이 필요합니다. 장기적인 계획 수립을 요청합니다.,교통,2025-02-27,대중교통 환승 시스템 개선이 장기적인 계획 수립을
민원 처리 속도가 너무 느립니다,민원 처리 속도가 너무 느립니다. 업무 효율성을 높여야 합니다.,행정,2025-02-27,민원 처리 속도가 너무 업무 효율성을 높여야
민원 처리 속도가 너무 느립니다,민원 처리 속도가 너무 느립니다. 투명성을 강화해야 합니다.,행정,2025-02-28,민원 처리 속도가 너무 투명성을 강화해야
기초연금 수급 자격 기준이 너무 엄격합니다,기초연금 수급 자격 기준이 너무 엄격합니다. 지역별 격차가 심각합니다.,복지,2025-02-28,기초연금 수급 자격 기준이 너무 지역별 격차가
노인 복지 서비스 확대가 필요합니다,노인 복지 서비스 확대가 필요합니다. 소득 기준을 현실화해야 합니다.,복지,2025-03-01,노인 복지 서비스 확대가 소득 기준을 현실화해야
보육료 지원이 실제 필요한 가정에 제대로 전달되지 않습니다,보육료 지원이 실제 필요한 가정에 제대로 전달되지 않습니다. 서류 준비 과정이 너무 복잡합니다.,복지,2025-03-01,보육료 지원이 실제 필요한 가정에 제대로 전달되지 서류 준비 과정이 너무
서울 강남구 지역 신호등 체계 개선이 필요합니다,서울 강남구 지역 신호등 체계 개선이 필요합니다. 긴급한 대책 마련이 필요합니다.,교통,2025-03-01,서울 강남구 지역 신호등 체계 개선이 긴급한 대책 마련이
가로등이 고장난 지 오래되었습니다,가로등이 고장난 지 오래되었습니다. 주민 불안감이 증가하고 있습니다.,안전,2025-03-02,가로등이 고장난 주민 불안감이 증가하고
복지 지원금 신청 절차가 복잡하여 어려움을 겪고 있습니다,복지 지원금 신청 절차가 복잡하여 어려움을 겪고 있습니다. 담당 공무원의 안내가 부족합니다.,복지,2025-03-02,복지 지원금 신청 절차가 복잡하여 어려움을 겪고 담당 공무원의 안내가
온라인 행정 시스템이 불편합니다,온라인 행정 시스템이 불편합니다. 디지털 전환이 시급합니다.,행정,2025-03-02,온라인 행정 시스템이 디지털 전환이
부산 해운대구 공원 관리가 제대로 되지 않고 있습니다,부산 해운대구 공원 관리가 제대로 되지 않고 있습니다. 시민 참여 방안을 마련해 주세요.,환경,2025-03-03,부산 해운대구 공원 관리가 제대로 되지 않고 시민 참여 방안을 마련해
어린이 보호구역 안전시설을 강화해 주세요,어린이 보호구역 안전시설을 강화해 주세요. 신속한 조치를 요청합니다.,안전,2025-03-04,어린이 보호구역 안전시설을 강화해 신속한 조치를
어린이 보호구역 안전시설을 강화해 주세요,어린이 보호구역 안전시설을 강화해 주세요. 신속한 조치를 요청합니다.,안전,2025-03-04,어린이 보호구역 안전시설을 강화해 신속한 조치를
보육료 지원이 실제 필요한 가정에 제대로 전달되지 않습니다,보육료 지원이 실제 필요한 가정에 제대로 전달되지 않습니다. 소득 기준을 현실화해야 합니다.,복지,2025-03-05,보육료 지원이 실제 필요한 가정에 제대로 전달되지 소득 기준을 현실화해야
서류 발급 절차를 간소화해 주세요,서류 발급 절차를 간소화해 주세요. 업무 효율성을 높여야 합니다.,행정,2025-03-05,서류 발급 절차를 간소화해 업무 효율성을 높여야
전남 여수시 지역 미세먼지 대책을 강화해 주세요,전남 여수시 지역 미세먼지 대책을 강화해 주세요. 체계적인 관리가 필요합니다.,환경,2025-03-05,전남 여수시 지역 미세먼지 대책을 강화해 체계적인 관리가
재활용 분리수거 시스템 개선이 필요합니다,재활용 분리수거 시스템 개선이 필요합니다. 체계적인 관리가 필요합니다.,환경,2025-03-05,재활용 분리수거 시스템 개선이 체계적인 관리가
행정 정보 공개를 확대해 주세요,행정 정보 공개를 확대해 주세요. 시민 중심 서비스가 필요합니다.,행정,2025-03-06,행정 정보 공개를 확대해 시민 중심 서비스가
복지 지원금 신청 절차가 복잡하여 어려움을 겪고 있습니다,복지 지원금 신청 절차가 복잡하여 어려움을 겪고 있습니다. 온라인 신청 시스템 개선이 시급합니다.,복지,2025-03-06,복지 지원금 신청 절차가 복잡하여 어려움을 겪고 온라인 신청 시스템 개선이
어린이 보호구역 안전시설을 강화해 주세요,어린이 보호구역 안전시설을 강화해 주세요. 정기적인 점검이 필요합니다.,안전,2025-03-06,어린이 보호구역 안전시설을 강화해 정기적인 점검이
대중교통 환승 시스템 개선이 필요합니다,대중교통 환승 시스템 개선이 필요합니다. 시민들의 불편이 가중되고 있습니다.,교통,2025-03-07,대중교통 환승 시스템 개선이 시민들의 불편이 가중되고
생활 소음 규제를 강화해야 합니다,생활 소음 규제를 강화해야 합니다. 예산 확대가 시급합니다.,환경,2025-03-08,생활 소음 규제를 강화해야 예산 확대가
기초연금 수급 자격 기준이 너무 엄격합니다,기초연금 수급 자격 기준이 너무 엄격합니다. 담당 공무원의 안내가 부족합니다.,복지,2025-03-09,기초연금 수급 자격 기준이 너무 담당 공무원의 안내가
온라인 행정 시스템이 불편합니다,온라인 행정 시스템이 불편합니다. 접근성을 개선해 주세요.,행정,2025-03-09,온라인 행정 시스템이 접근성을 개선해
경남 창원시 공원 관리가 제대로 되지 않고 있습니다,경남 창원시 공원 관리가 제대로 되지 않고 있습니다. 주민 건강이 위협받고 있습니다.,환경,2025-03-10,경남 창원시 공원 관리가 제대로 되지 않고 주민 건강이 위협받고
공공시설 안전 점검을 철저히 해주세요,공공시설 안전 점검을 철저히 해주세요. 신속한 조치를 요청합니다.,안전,2025-03-10,공공시설 안전 점검을 철저히 신속한 조치를
행정 정보 공개를 확대해 주세요,행정 정보 공개를 확대해 주세요. 업무 효율성을 높여야 합니다.,행정,2025-03-10,행정 정보 공개를 확대해 업무 효율성을 높여야
의료비 지원 대상자 선정 기준을 완화해 주세요,의료비 지원 대상자 선정 기준을 완화해 주세요. 지역별 격차가 심각합니다.,복지,2025-03-10,의료비 지원 대상자 선정 기준을 완화해 지역별 격차가
노인 복지 서비스 확대가 필요합니다,노인 복지 서비스 확대가 필요합니다. 온라인 신청 시스템 개선이 시급합니다.,복지,2025-03-10,노인 복지 서비스 확대가 온라인 신청 시스템 개선이
서울 강남구 지역에 CCTV 설치를 요청합니다,서울 강남구 지역에 CCTV 설치를 요청합니다. 신속한 조치를 요청합니다.,안전,2025-03-15,서울 강남구 지역에 설치를 신속한 조치를
의료비 지원 대상자 선정 기준을 완화해 주세요,의료비 지원 대상자 선정 기준을 완화해 주세요. 담당 공무원의 안내가 부족합니다.,복지,2025-03-15,의료비 지원 대상자 선정 기준을 완화해 담당 공무원의 안내가
경북 포항시 공원 관리가 제대로 되지 않고 있습니다,경북 포항시 공원 관리가 제대로 되지 않고 있습니다. 예산 확대가 시급합니다.,환경,2025-03-15,경북 포항시 공원 관리가 제대로 되지 않고 예산 확대가
전북 전주시 공원 관리가 제대로 되지 않고 있습니다,전북 전주시 공원 관리가 제대로 되지 않고 있습니다. 예산 확대가 시급합니다.,환경,2025-03-15,전북 전주시 공원 관리가 제대로 되지 않고 예산 확대가
공무원 응대 서비스 개선이 필요합니다,공무원 응대 서비스 개선이 필요합니다. 접근성을 개선해 주세요.,행정,2025-03-16,공무원 응대 서비스 개선이 접근성을 개선해
주차 공간 부족 문제를 해결해 주세요,주차 공간 부족 문제를 해결해 주세요. 장기적인 계획 수립을 요청합니다.,교통,2025-03-16,주차 공간 부족 문제를 해결해 장기적인 계획 수립을
온라인 행정 시스템이 불편합니다,온라인 행정 시스템이 불편합니다. 접근성을 개선해 주세요.,행정,2025-03-16,온라인 행정 시스템이 접근성을 개선해
노인 복지 서비스 확대가 필요합니다,노인 복지 서비스 확대가 필요합니다. 온라인 신청 시스템 개선이 시급합니다.,복지,2025-03-17,노인 복지 서비스 확대가 온라인 신청 시스템 개선이
공무원 응대 서비스 개선이 필요합니다,공무원 응대 서비스 개선이 필요합니다. 업무 효율성을 높여야 합니다.,행정,2025-03-19,공무원 응대 서비스 개선이 업무 효율성을 높여야
서류 발급 절차를 간소화해 주세요,서류 발급 절차를 간소화해 주세요. 투명성을 강화해야 합니다.,행정,2025-03-19,서류 발급 절차를 간소화해 투명성을 강화해야
온라인 행정 시스템이 불편합니다,온라인 행정 시스템이 불편합니다. 투명성을 강화해야 합니다.,행정,2025-03-19,온라인 행정 시스템이 투명성을 강화해야
공무원 응대 서비스 개선이 필요합니다,공무원 응대 서비스 개선이 필요합니다. 투명성을 강화해야 합니다.,행정,2025-03-20,공무원 응대 서비스 개선이 투명성을 강화해야
