제목,내용,카테고리,접수일시,processed_content
전남 여수시 지역에 CCTV 설치를 요청합니다,전남 여수시 지역에 CCTV 설치를 요청합니다. 주민 불안감이 증가하고 있습니다.,안전,2025-03-20,전남 여수시 지역에 설치를 주민 불안감이 증가하고
서류 발급 절차를 간소화해 주세요,서류 발급 절차를 간소화해 주세요. 접근성을 개선해 주세요.,행정,2025-03-20,서류 발급 절차를 간소화해 접근성을 개선해
보육료 지원이 실제 필요한 가정에 제대로 전달되지 않습니다,보육료 지원이 실제 필요한 가정에 제대로 전달되지 않습니다. 지역별 격차가 심각합니다.,복지,2025-03-20,보육료 지원이 실제 필요한 가정에 제대로 전달되지 지역별 격차가
도시 녹지 공간을 확대해 주세요,도시 녹지 공간을 확대해 주세요. 시민 참여 방안을 마련해 주세요.,환경,2025-03-20,도시 녹지 공간을 확대해 시민 참여 방안을 마련해
보육료 지원이 실제 필요한 가정에 제대로 전달되지 않습니다,보육료 지원이 실제 필요한 가정에 제대로 전달되지 않습니다. 서류 준비 과정이 너무 복잡합니다.,복지,2025-03-21,보육료 지원이 실제 필요한 가정에 제대로 전달되지 서류 준비 과정이 너무
노인 복지 서비스 확대가 필요합니다,노인 복지 서비스 확대가 필요합니다. 온라인 신청 시스템 개선이 시급합니다.,복지,2025-03-22,노인 복지 서비스 확대가 온라인 신청 시스템 개선이
강원 춘천시 지역 미세먼지 대책을 강화해 주세요,강원 춘천시 지역 미세먼지 대책을 강화해 주세요. 시민 참여 방안을 마련해 주세요.,환경,2025-03-22,강원 춘천시 지역 미세먼지 대책을 강화해 시민 참여 방안을 마련해
온라인 행정 시스템이 불편합니다,온라인 행정 시스템이 불편합니다. 투명성을 강화해야 합니다.,행정,2025-03-22,온라인 행정 시스템이 투명성을 강화해야
민원 처리 속도가 너무 느립니다,민원 처리 속도가 너무 느립니다. 디지털 전환이 시급합니다.,행정,2025-03-23,민원 처리 속도가 너무 디지털 전환이
대구 수성구 지역 미세먼지 대책을 강화해 주세요,대구 수성구 지역 미세먼지 대책을 강화해 주세요. 생활 환경이 악화되고 있습니다.,환경,2025-03-25,대구 수성구 지역 미세먼지 대책을 강화해 생활 환경이 악화되고
출퇴근 시간 경기 수원시 버스 배차 간격이 너무 깁니다,출퇴근 시간 경기 수원시 버스 배차 간격이 너무 깁니다. 시민들의 불편이 가중되고 있습니다.,교통,2025-03-25,출퇴근 시간 경기 수원시 버스 배차 간격이 너무 시민들의 불편이 가중되고
부산 해운대구 지역 신호등 체계 개선이 필요합니다,부산 해운대구 지역 신호등 체계 개선이 필요합니다. 장기적인 계획 수립을 요청합니다.,교통,2025-03-26,부산 해운대구 지역 신호등 체계 개선이 장기적인 계획 수립을
충남 천안시 지역에 CCTV 설치를 요청합니다,충남 천안시 지역에 CCTV 설치를 요청합니다. 예방 대책을 마련해 주세요.,안전,2025-03-26,충남 천안시 지역에 설치를 예방 대책을 마련해
의료비 지원 대상자 선정 기준을 완화해 주세요,의료비 지원 대상자 선정 기준을 완화해 주세요. 서류 준비 과정이 너무 복잡합니다.,복지,2025-03-27,의료비 지원 대상자 선정 기준을 완화해 서류 준비 과정이 너무
행정 정보 공개를 확대해 주세요,행정 정보 공개를 확대해 주세요. 접근성을 개선해 주세요.,행정,2025-03-27,행정 정보 공개를 확대해 접근성을 개선해
주차 공간 부족 문제를 해결해 주세요,주차 공간 부족 문제를 해결해 주세요. 시민들의 불편이 가중되고 있습니다.,교통,2025-03-28,주차 공간 부족 문제를 해결해 시민들의 불편이 가중되고
생활 소음 규제를 강화해야 합니다,생활 소음 규제를 강화해야 합니다. 주민 건강이 위협받고 있습니다.,환경,2025-03-28,생활 소음 규제를 강화해야 주민 건강이 위협받고
울산 남구 도로 포장 상태가 매우 불량합니다,울산 남구 도로 포장 상태가 매우 불량합니다. 장기적인 계획 수립을 요청합니다.,교통,2025-03-30,울산 남구 도로 포장 상태가 매우 장기적인 계획 수립을
공공시설 안전 점검을 철저히 해주세요,공공시설 안전 점검을 철저히 해주세요. 주민 불안감이 증가하고 있습니다.,안전,2025-03-30,공공시설 안전 점검을 철저히 주민 불안감이 증가하고
노인 복지 서비스 확대가 필요합니다,노인 복지 서비스 확대가 필요합니다. 담당 공무원의 안내가 부족합니다.,복지,2025-03-31,노인 복지 서비스 확대가 담당 공무원의 안내가
서울 강남구 지역 미세먼지 대책을 강화해 주세요,서울 강남구 지역 미세먼지 대책을 강화해 주세요. 예산 확대가 시급합니다.,환경,2025-04-01,서울 강남구 지역 미세먼지 대책을 강화해 예산 확대가
전남 여수시 지역에 CCTV 설치를 요청합니다,전남 여수시 지역에 CCTV 설치를 요청합니다. 예방 대책을 마련해 주세요.,안전,2025-04-01,전남 여수시 지역에 설치를 예방 대책을 마련해
민원 처리 속도가 너무 느립니다,민원 처리 속도가 너무 느립니다. 업무 효율성을 높여야 합니다.,행정,2025-04-01,민원 처리 속도가 너무 업무 효율성을 높여야
가로등이 고장난 지 오래되었습니다,가로등이 고장난 지 오래되었습니다. 신속한 조치를 요청합니다.,안전,2025-04-01,가로등이 고장난 신속한 조치를
기초연금 수급 자격 기준이 너무 엄격합니다,기초연금 수급 자격 기준이 너무 엄격합니다. 지역별 격차가 심각합니다.,복지,2025-04-02,기초연금 수급 자격 기준이 너무 지역별 격차가
출퇴근 시간 인천 연수구 버스 배차 간격이 너무 깁니다,출퇴근 시간 인천 연수구 버스 배차 간격이 너무 깁니다. 시민들의 불편이 가중되고 있습니다.,교통,2025-04-03,출퇴근 시간 인천 연수구 버스 배차 간격이 너무 시민들의 불편이 가중되고
인천 연수구 지역에 CCTV 설치를 요청합니다,인천 연수구 지역에 CCTV 설치를 요청합니다. 정기적인 점검이 필요합니다.,안전,2025-04-03,인천 연수구 지역에 설치를 정기적인 점검이
재난 대응 시스템 개선이 필요합니다,재난 대응 시스템 개선이 필요합니다. 예방 대책을 마련해 주세요.,안전,2025-04-03,재난 대응 시스템 개선이 예방 대책을 마련해
주차 공간 부족 문제를 해결해 주세요,주차 공간 부족 문제를 해결해 주세요. 장기적인 계획 수립을 요청합니다.,교통,2025-04-04,주차 공간 부족 문제를 해결해 장기적인 계획 수립을
경북 포항시 지역 미세먼지 대책을 강화해 주세요,경북 포항시 지역 미세먼지 대책을 강화해 주세요. 시민 참여 방안을 마련해 주세요.,환경,2025-04-04,경북 포항시 지역 미세먼지 대책을 강화해 시민 참여 방안을 마련해
가로등이 고장난 지 오래되었습니다,가로등이 고장난 지 오래되었습니다. 사고 예방이 시급합니다.,안전,2025-04-04,가로등이 고장난 사고 예방이
공공시설 안전 점검을 철저히 해주세요,공공시설 안전 점검을 철저히 해주세요. 신속한 조치를 요청합니다.,안전,2025-04-05,공공시설 안전 점검을 철저히 신속한 조치를
서울 강북구 지역 미세먼지 대책을 강화해 주세요,서울 강북구 지역 미세먼지 대책을 강화해 주세요. 체계적인 관리가 필요합니다.,환경,2025-04-05,서울 강북구 지역 미세먼지 대책을 강화해 체계적인 관리가
경북 포항시 지역에 CCTV 설치를 요청합니다,경북 포항시 지역에 CCTV 설치를 요청합니다. 주민 불안감이 증가하고 있습니다.,안전,2025-04-06,경북 포항시 지역에 설치를 주민 불안감이 증가하고
어린이 보호구역 안전시설을 강화해 주세요,어린이 보호구역 안전시설을 강화해 주세요. 정기적인 점검이 필요합니다.,안전,2025-04-07,어린이 보호구역 안전시설을 강화해 정기적인 점검이
온라인 행정 시스템이 불편합니다,온라인 행정 시스템이 불편합니다. 디지털 전환이 시급합니다.,행정,2025-04-07,온라인 행정 시스템이 디지털 전환이
충남 천안시 공원 관리가 제대로 되지 않고 있습니다,충남 천안시 공원 관리가 제대로 되지 않고 있습니다. 생활 환경이 악화되고 있습니다.,환경,2025-04-08,충남 천안시 공원 관리가 제대로 되지 않고 생활 환경이 악화되고
기초연금 수급 자격 기준이 너무 엄격합니다,기초연금 수급 자격 기준이 너무 엄격합니다. 서류 준비 과정이 너무 복잡합니다.,복지,2025-04-09,기초연금 수급 자격 기준이 너무 서류 준비 과정이 너무
주차 공간 부족 문제를 해결해 주세요,주차 공간 부족 문제를 해결해 주세요. 긴급한 대책 마련이 필요합니다.,교통,2025-04-09,주차 공간 부족 문제를 해결해 긴급한 대책 마련이
서류 발급 절차를 간소화해 주세요,서류 발급 절차를 간소화해 주세요. 접근성을 개선해 주세요.,행정,2025-04-09,서류 발급 절차를 간소화해 접근성을 개선해
공무원 응대 서비스 개선이 필요합니다,공무원 응대 서비스 개선이 필요합니다. 시민 중심 서비스가 필요합니다.,행정,2025-04-09,공무원 응대 서비스 개선이 시민 중심 서비스가
복지 지원금 신청 절차가 복잡하여 어려움을 겪고 있습니다,복지 지원금 신청 절차가 복잡하여 어려움을 겪고 있습니다. 지역별 격차가 심각합니다.,복지,2025-04-10,복지 지원금 신청 절차가 복잡하여 어려움을 겪고 지역별 격차가
의료비 지원 대상자 선정 기준을 완화해 주세요,의료비 지원 대상자 선정 기준을 완화해 주세요. 소득 기준을 현실화해야 합니다.,복지,2025-04-11,의료비 지원 대상자 선정 기준을 완화해 소득 기준을 현실화해야
출퇴근 시간 서울 강북구 버스 배차 간격이 너무 깁니다,출퇴근 시간 서울 강북구 버스 배차 간격이 너무 깁니다. 시민들의 불편이 가중되고 있습니다.,교통,2025-04-11,출퇴근 시간 서울 강북구 버스 배차 간격이 너무 시민들의 불편이 가중되고
부산 해운대구 도로 포장 상태가 매우 불량합니다,부산 해운대구 도로 포장 상태가 매우 불량합니다. 사고 위험이 높아지고 있습니다.,교통,2025-04-11,부산 해운대구 도로 포장 상태가 매우 사고 위험이 높아지고
복지 지원금 신청 절차가 복잡하여 어려움을 겪고 있습니다,복지 지원금 신청 절차가 복잡하여 어려움을 겪고 있습니다. 소득 기준을 현실화해야 합니다.,복지,2025-04-11,복지 지원금 신청 절차가 복잡하여 어려움을 겪고 소득 기준을 현실화해야
재난 대응 시스템 개선이 필요합니다,재난 대응 시스템 개선이 필요합니다. 예방 대책을 마련해 주세요.,안전,2025-04-11,재난 대응 시스템 개선이 예방 대책을 마련해
복지 지원금 신청 절차가 복잡하여 어려움을 겪고 있습니다,복지 지원금 신청 절차가 복잡하여 어려움을 겪고 있습니다. 서류 준비 과정이 너무 복잡합니다.,복지,2025-04-13,복지 지원금 신청 절차가 복잡하여 어려움을 겪고 서류 준비 과정이 너무
복지 지원금 신청 절차가 복잡하여 어려움을 겪고 있습니다,복지 지원금 신청 절차가 복잡하여 어려움을 겪고 있습니다. 담당 공무원의 안내가 부족합니다.,복지,2025-04-13,복지 지원금 신청 절차가 복잡하여 어려움을 겪고 담당 공무원의 안내가
노인 복지 서비스 확대가 필요합니다,노인 복지 서비스 확대가 필요합니다. 서류 준비 과정이 너무 복잡합니다.,복지,2025-04-15,노인 복지 서비스 확대가 서류 준비 과정이 너무
복지 지원금 신청 절차가 복잡하여 어려움을 겪고 있습니다,복지 지원금 신청 절차가 복잡하여 어려움을 겪고 있습니다. 온라인 신청 시스템 개선이 시급합니다.,복지,2025-04-16,복지 지원금 신청 절차가 복잡하여 어려움을 겪고 온라인 신청 시스템 개선이
온라인 행정 시스템이 불편합니다,온라인 행정 시스템이 불편합니다. 접근성을 개선해 주세요.,행정,2025-04-17,온라인 행정 시스템이 접근성을 개선해
재난 대응 시스템 개선이 필요합니다,재난 대응 시스템 개선이 필요합니다. 사고 예방이 시급합니다.,안전,2025-04-17,재난 대응 시스템 개선이 사고 예방이
대중교통 환승 시스템 개선이 필요합니다,대중교통 환승 시스템 개선이 필요합니다. 경제적 손실이 발생하고 있습니다.,교통,2025-04-17,대중교통 환승 시스템 개선이 경제적 손실이 발생하고
재활용 분리수거 시스템 개선이 필요합니다,재활용 분리수거 시스템 개선이 필요합니다. 체계적인 관리가 필요합니다.,환경,2025-04-18,재활용 분리수거 시스템 개선이 체계적인 관리가
경북 포항시 공원 관리가 제대로 되지 않고 있습니다,경북 포항시 공원 관리가 제대로 되지 않고 있습니다. 시민 참여 방안을 마련해 주세요.,환경,2025-04-18,경북 포항시 공원 관리가 제대로 되지 않고 시민 참여 방안을 마련해
의료비 지원 대상자 선정 기준을 완화해 주세요,의료비 지원 대상자 선정 기준을 완화해 주세요. 온라인 신청 시스템 개선이 시급합니다.,복지,2025-04-19,의료비 지원 대상자 선정 기준을 완화해 온라인 신청 시스템 개선이
전남 여수시 도로 포장 상태가 매우 불량합니다,전남 여수시 도로 포장 상태가 매우 불량합니다. 장기적인 계획 수립을 요청합니다.,교통,2025-04-20,전남 여수시 도로 포장 상태가 매우 장기적인 계획 수립을
충북 청주시 공원 관리가 제대로 되지 않고 있습니다,충북 청주시 공원 관리가 제대로 되지 않고 있습니다. 예산 확대가 시급합니다.,환경,2025-04-20,충북 청주시 공원 관리가 제대로 되지 않고 예산 확대가
대중교통 환승 시스템 개선이 필요합니다,대중교통 환승 시스템 개선이 필요합니다. 경제적 손실이 발생하고 있습니다.,교통,2025-04-20,대중교통 환승 시스템 개선이 경제적 손실이 발생하고
재난 대응 시스템 개선이 필요합니다,재난 대응 시스템 개선이 필요합니다. 사고 예방이 시급합니다.,안전,2025-04-20,재난 대응 시스템 개선이 사고 예방이
보육료 지원이 실제 필요한 가정에 제대로 전달되지 않습니다,보육료 지원이 실제 필요한 가정에 제대로 전달되지 않습니다. 소득 기준을 현실화해야 합니다.,복지,2025-04-20,보육료 지원이 실제 필요한 가정에 제대로 전달되지 소득 기준을 현실화해야
행정 정보 공개를 확대해 주세요,행정 정보 공개를 확대해 주세요. 시민 중심 서비스가 필요합니다.,행정,2025-04-21,행정 정보 공개를 확대해 시민 중심 서비스가
어린이 보호구역 안전시설을 강화해 주세요,어린이 보호구역 안전시설을 강화해 주세요. 주민 불안감이 증가하고 있습니다.,안전,2025-04-23,어린이 보호구역 안전시설을 강화해 주민 불안감이 증가하고
가로등이 고장난 지 오래되었습니다,가로등이 고장난 지 오래되었습니다. 신속한 조치를 요청합니다.,안전,2025-04-23,가로등이 고장난 신속한 조치를
의료비 지원 대상자 선정 기준을 완화해 주세요,의료비 지원 대상자 선정 기준을 완화해 주세요. 서류 준비 과정이 너무 복잡합니다.,복지,2025-04-23,의료비 지원 대상자 선정 기준을 완화해 서류 준비 과정이 너무
노인 복지 서비스 확대가 필요합니다,노인 복지 서비스 확대가 필요합니다. 서류 준비 과정이 너무 복잡합니다.,복지,2025-04-23,노인 복지 서비스 확대가 서류 준비 과정이 너무
주차 공간 부족 문제를 해결해 주세요,주차 공간 부족 문제를 해결해 주세요. 경제적 손실이 발생하고 있습니다.,교통,2025-04-24,주차 공간 부족 문제를 해결해 경제적 손실이 발생하고
생활 소음 규제를 강화해야 합니다,생활 소음 규제를 강화해야 합니다. 체계적인 관리가 필요합니다.,환경,2025-04-24,생활 소음 규제를 강화해야 체계적인 관리가
대중교통 환승 시스템 개선이 필요합니다,대중교통 환승 시스템 개선이 필요합니다. 장기적인 계획 수립을 요청합니다.,교통,2025-04-25,대중교통 환승 시스템 개선이 장기적인 계획 수립을
공공시설 안전 점검을 철저히 해주세요,공공시설 안전 점검을 철저히 해주세요. 신속한 조치를 요청합니다.,안전,2025-04-26,공공시설 안전 점검을 철저히 신속한 조치를
도시 녹지 공간을 확대해 주세요,도시 녹지 공간을 확대해 주세요. 체계적인 관리가 필요합니다.,환경,2025-04-26,도시 녹지 공간을 확대해 체계적인 관리가
의료비 지원 대상자 선정 기준을 완화해 주세요,의료비 지원 대상자 선정 기준을 완화해 주세요. 서류 준비 과정이 너무 복잡합니다.,복지,2025-04-27,의료비 지원 대상자 선정 기준을 완화해 서류 준비 과정이 너무
출퇴근 시간 경기 용인시 버스 배차 간격이 너무 깁니다,출퇴근 시간 경기 용인시 버스 배차 간격이 너무 깁니다. 사고 위험이 높아지고 있습니다.,교통,2025-04-27,출퇴근 시간 경기 용인시 버스 배차 간격이 너무 사고 위험이 높아지고
경기 수원시 도로 포장 상태가 매우 불량합니다,경기 수원시 도로 포장 상태가 매우 불량합니다. 장기적인 계획 수립을 요청합니다.,교통,2025-04-29,경기 수원시 도로 포장 상태가 매우 장기적인 계획 수립을
공공시설 안전 점검을 철저히 해주세요,공공시설 안전 점검을 철저히 해주세요. 사고 예방이 시급합니다.,안전,2025-04-29,공공시설 안전 점검을 철저히 사고 예방이
공공시설 안전 점검을 철저히 해주세요,공공시설 안전 점검을 철저히 해주세요. 예방 대책을 마련해 주세요.,안전,2025-04-29,공공시설 안전 점검을 철저히 예방 대책을 마련해
온라인 행정 시스템이 불편합니다,온라인 행정 시스템이 불편합니다. 시민 중심 서비스가 필요합니다.,행정,2025-04-30,온라인 행정 시스템이 시민 중심 서비스가
생활 소음 규제를 강화해야 합니다,생활 소음 규제를 강화해야 합니다. 시민 참여 방안을 마련해 주세요.,환경,2025-04-30,생활 소음 규제를 강화해야 시민 참여 방안을 마련해
온라인 행정 시스템이 불편합니다,온라인 행정 시스템이 불편합니다. 디지털 전환이 시급합니다.,행정,2025-05-01,온라인 행정 시스템이 디지털 전환이
보육료 지원이 실제 필요한 가정에 제대로 전달되지 않습니다,보육료 지원이 실제 필요한 가정에 제대로 전달되지 않습니다. 담당 공무원의 안내가 부족합니다.,복지,2025-05-02,보육료 지원이 실제 필요한 가정에 제대로 전달되지 담당 공무원의 안내가
주차 공간 부족 문제를 해결해 주세요,주차 공간 부족 문제를 해결해 주세요. 긴급한 대책 마련이 필요합니다.,교통,2025-05-02,주차 공간 부족 문제를 해결해 긴급한 대책 마련이
대중교통 환승 시스템 개선이 필요합니다,대중교통 환승 시스템 개선이 필요합니다. 시민들의 불편이 가중되고 있습니다.,교통,2025-05-02,대중교통 환승 시스템 개선이 시민들의 불편이 가중되고
재난 대응 시스템 개선이 필요합니다,재난 대응 시스템 개선이 필요합니다. 정기적인 점검이 필요합니다.,안전,2025-05-03,재난 대응 시스템 개선이 정기적인 점검이
부산 해운대구 지역에 CCTV 설치를 요청합니다,부산 해운대구 지역에 CCTV 설치를 요청합니다. 예방 대책을 마련해 주세요.,안전,2025-05-03,부산 해운대구 지역에 설치를 예방 대책을 마련해
보육료 지원이 실제 필요한 가정에 제대로 전달되지 않습니다,보육료 지원이 실제 필요한 가정에 제대로 전달되지 않습니다. 담당 공무원의 안내가 부족합니다.,복지,2025-05-03,보육료 지원이 실제 필요한 가정에 제대로 전달되지 담당 공무원의 안내가
도시 녹지 공간을 확대해 주세요,도시 녹지 공간을 확대해 주세요. 체계적인 관리가 필요합니다.,환경,2025-05-03,도시 녹지 공간을 확대해 체계적인 관리가
기초연금 수급 자격 기준이 너무 엄격합니다,기초연금 수급 자격 기준이 너무 엄격합니다. 온라인 신청 시스템 개선이 시급합니다.,복지,2025-05-04,기초연금 수급 자격 기준이 너무 온라인 신청 시스템 개선이
공무원 응대 서비스 개선이 필요합니다,공무원 응대 서비스 개선이 필요합니다. 접근성을 개선해 주세요.,행정,2025-05-06,공무원 응대 서비스 개선이 접근성을 개선해
대중교통 환승 시스템 개선이 필요합니다,대중교통 환승 시스템 개선이 필요합니다. 사고 위험이 높아지고 있습니다.,교통,2025-05-06,대중교통 환승 시스템 개선이 사고 위험이 높아지고
행정 정보 공개를 확대해 주세요,행정 정보 공개를 확대해 주세요. 디지털 전환이 시급합니다.,행정,2025-05-07,행정 정보 공개를 확대해 디지털 전환이
재난 대응 시스템 개선이 필요합니다,재난 대응 시스템 개선이 필요합니다. 신속한 조치를 요청합니다.,안전,2025-05-07,재난 대응 시스템 개선이 신속한 조치를
출퇴근 시간 강원 춘천시 버스 배차 간격이 너무 깁니다,출퇴근 시간 강원 춘천시 버스 배차 간격이 너무 깁니다. 사고 위험이 높아지고 있습니다.,교통,2025-05-08,출퇴근 시간 강원 춘천시 버스 배차 간격이 너무 사고 위험이 높아지고
광주 서구 지역 미세먼지 대책을 강화해 주세요,광주 서구 지역 미세먼지 대책을 강화해 주세요. 시민 참여 방안을 마련해 주세요.,환경,2025-05-09,광주 서구 지역 미세먼지 대책을 강화해 시민 참여 방안을 마련해
경남 창원시 공원 관리가 제대로 되지 않고 있습니다,경남 창원시 공원 관리가 제대로 되지 않고 있습니다. 예산 확대가 시급합니다.,환경,2025-05-09,경남 창원시 공원 관리가 제대로 되지 않고 예산 확대가
의료비 지원 대상자 선정 기준을 완화해 주세요,의료비 지원 대상자 선정 기준을 완화해 주세요. 온라인 신청 시스템 개선이 시급합니다.,복지,2025-05-09,의료비 지원 대상자 선정 기준을 완화해 온라인 신청 시스템 개선이
재활용 분리수거 시스템 개선이 필요합니다,재활용 분리수거 시스템 개선이 필요합니다. 체계적인 관리가 필요합니다.,환경,2025-05-09,재활용 분리수거 시스템 개선이 체계적인 관리가
주차 공간 부족 문제를 해결해 주세요,주차 공간 부족 문제를 해결해 주세요. 사고 위험이 높아지고 있습니다.,교통,2025-05-10,주차 공간 부족 문제를 해결해 사고 위험이 높아지고
전북 전주시 도로 포장 상태가 매우 불량합니다,전북 전주시 도로 포장 상태가 매우 불량합니다. 경제적 손실이 발생하고 있습니다.,교통,2025-05-10,전북 전주시 도로 포장 상태가 매우 경제적 손실이 발생하고
충남 천안시 공원 관리가 제대로 되지 않고 있습니다,충남 천안시 공원 관리가 제대로 되지 않고 있습니다. 주민 건강이 위협받고 있습니다.,환경,2025-05-11,충남 천안시 공원 관리가 제대로 되지 않고 주민 건강이 위협받고
공공시설 안전 점검을 철저히 해주세요,공공시설 안전 점검을 철저히 해주세요. 신속한 조치를 요청합니다.,안전,2025-05-13,공공시설 안전 점검을 철저히 신속한 조치를
세종시 도로 포장 상태가 매우 불량합니다,세종시 도로 포장 상태가 매우 불량합니다. 시민들의 불편이 가중되고 있습니다.,교통,2025-05-13,세종시 도로 포장 상태가 매우 시민들의 불편이 가중되고
공공시설 안전 점검을 철저히 해주세요,공공시설 안전 점검을 철저히 해주세요. 주민 불안감이 증가하고 있습니다.,안전,2025-05-14,공공시설 안전 점검을 철저히 주민 불안감이 증가하고
가로등이 고장난 지 오래되었습니다,가로등이 고장난 지 오래되었습니다. 정기적인 점검이 필요합니다.,안전,2025-05-14,가로등이 고장난 정기적인 점검이
대중교통 환승 시스템 개선이 필요합니다,대중교통 환승 시스템 개선이 필요합니다. 시민들의 불편이 가중되고 있습니다.,교통,2025-05-15,대중교통 환승 시스템 개선이 시민들의 불편이 가중되고
서류 발급 절차를 간소화해 주세요,서류 발급 절차를 간소화해 주세요. 접근성을 개선해 주세요.,행정,2025-05-15,서류 발급 절차를 간소화해 접근성을 개선해
복지 지원금 신청 절차가 복잡하여 어려움을 겪고 있습니다,복지 지원금 신청 절차가 복잡하여 어려움을 겪고 있습니다. 담당 공무원의 안내가 부족합니다.,복지,2025-05-16,복지 지원금 신청 절차가 복잡하여 어려움을 겪고 담당 공무원의 안내가
의료비 지원 대상자 선정 기준을 완화해 주세요,의료비 지원 대상자 선정 기준을 완화해 주세요. 담당 공무원의 안내가 부족합니다.,복지,2025-05-16,의료비 지원 대상자 선정 기준을 완화해 담당 공무원의 안내가
서류 발급 절차를 간소화해 주세요,서류 발급 절차를 간소화해 주세요. 디지털 전환이 시급합니다.,행정,2025-05-16,서류 발급 절차를 간소화해 디지털 전환이
도시 녹지 공간을 확대해 주세요,도시 녹지 공간을 확대해 주세요. 예산 확대가 시급합니다.,환경,2025-05-17,도시 녹지 공간을 확대해 예산 확대가
복지 지원금 신청 절차가 복잡하여 어려움을 겪고 있습니다,복지 지원금 신청 절차가 복잡하여 어려움을 겪고 있습니다. 온라인 신청 시스템 개선이 시급합니다.,복지,2025-05-17,복지 지원금 신청 절차가 복잡하여 어려움을 겪고 온라인 신청 시스템 개선이
복지 지원금 신청 절차가 복잡하여 어려움을 겪고 있습니다,복지 지원금 신청 절차가 복잡하여 어려움을 겪고 있습니다. 서류 준비 과정이 너무 복잡합니다.,복지,2025-05-18,복지 지원금 신청 절차가 복잡하여 어려움을 겪고 서류 준비 과정이 너무
생활 소음 규제를 강화해야 합니다,생활 소음 규제를 강화해야 합니다. 시민 참여 방안을 마련해 주세요.,환경,2025-05-18,생활 소음 규제를 강화해야 시민 참여 방안을 마련해
서류 발급 절차를 간소화해 주세요,서류 발급 절차를 간소화해 주세요. 업무 효율성을 높여야 합니다.,행정,2025-05-18,서류 발급 절차를 간소화해 업무 효율성을 높여야
보육료 지원이 실제 필요한 가정에 제대로 전달되지 않습니다,보육료 지원이 실제 필요한 가정에 제대로 전달되지 않습니다. 서류 준비 과정이 너무 복잡합니다.,복지,2025-05-18,보육료 지원이 실제 필요한 가정에 제대로 전달되지 서류 준비 과정이 너무
