제목,내용,카테고리,접수일시,processed_content
어린이 보호구역 안전시설을 강화해 주세요,어린이 보호구역 안전시설을 강화해 주세요. 예방 대책을 마련해 주세요.,안전,2025-05-19,어린이 보호구역 안전시설을 강화해 예방 대책을 마련해
행정 정보 공개를 확대해 주세요,행정 정보 공개를 확대해 주세요. 접근성을 개선해 주세요.,행정,2025-05-20,행정 정보 공개를 확대해 접근성을 개선해
보육료 지원이 실제 필요한 가정에 제대로 전달되지 않습니다,보육료 지원이 실제 필요한 가정에 제대로 전달되지 않습니다. 온라인 신청 시스템 개선이 시급합니다.,복지,2025-05-21,보육료 지원이 실제 필요한 가정에 제대로 전달되지 온라인 신청 시스템 개선이
대구 수성구 공원 관리가 제대로 되지 않고 있습니다,대구 수성구 공원 관리가 제대로 되지 않고 있습니다. 체계적인 관리가 필요합니다.,환경,2025-05-21,대구 수성구 공원 관리가 제대로 되지 않고 체계적인 관리가
강원 춘천시 지역에 CCTV 설치를 요청합니다,강원 춘천시 지역에 CCTV 설치를 요청합니다. 정기적인 점검이 필요합니다.,안전,2025-05-22,강원 춘천시 지역에 설치를 정기적인 점검이
의료비 지원 대상자 선정 기준을 완화해 주세요,의료비 지원 대상자 선정 기준을 완화해 주세요. 지역별 격차가 심각합니다.,복지,2025-05-23,의료비 지원 대상자 선정 기준을 완화해 지역별 격차가
생활 소음 규제를 강화해야 합니다,생활 소음 규제를 강화해야 합니다. 주민 건강이 위협받고 있습니다.,환경,2025-05-23,생활 소음 규제를 강화해야 주민 건강이 위협받고
대중교통 환승 시스템 개선이 필요합니다,대중교통 환승 시스템 개선이 필요합니다. 긴급한 대책 마련이 필요합니다.,교통,2025-05-23,대중교통 환승 시스템 개선이 긴급한 대책 마련이
의료비 지원 대상자 선정 기준을 완화해 주세요,의료비 지원 대상자 선정 기준을 완화해 주세요. 서류 준비 과정이 너무 복잡합니다.,복지,2025-05-23,의료비 지원 대상자 선정 기준을 완화해 서류 준비 과정이 너무
도시 녹지 공간을 확대해 주세요,도시 녹지 공간을 확대해 주세요. 체계적인 관리가 필요합니다.,환경,2025-05-24,도시 녹지 공간을 확대해 체계적인 관리가
대중교통 환승 시스템 개선이 필요합니다,대중교통 환승 시스템 개선이 필요합니다. 긴급한 대책 마련이 필요합니다.,교통,2025-05-24,대중교통 환승 시스템 개선이 긴급한 대책 마련이
민원 처리 속도가 너무 느립니다,민원 처리 속도가 너무 느립니다. 시민 중심 서비스가 필요합니다.,행정,2025-05-24,민원 처리 속도가 너무 시민 중심 서비스가
복지 지원금 신청 절차가 복잡하여 어려움을 겪고 있습니다,복지 지원금 신청 절차가 복잡하여 어려움을 겪고 있습니다. 지역별 격차가 심각합니다.,복지,2025-05-25,복지 지원금 신청 절차가 복잡하여 어려움을 겪고 지역별 격차가
재활용 분리수거 시스템 개선이 필요합니다,재활용 분리수거 시스템 개선이 필요합니다. 예산 확대가 시급합니다.,환경,2025-05-25,재활용 분리수거 시스템 개선이 예산 확대가
공무원 응대 서비스 개선이 필요합니다,공무원 응대 서비스 개선이 필요합니다. 디지털 전환이 시급합니다.,행정,2025-05-26,공무원 응대 서비스 개선이 디지털 전환이
공무원 응대 서비스 개선이 필요합니다,공무원 응대 서비스 개선이 필요합니다. 업무 효율성을 높여야 합니다.,행정,2025-05-26,공무원 응대 서비스 개선이 업무 효율성을 높여야
노인 복지 서비스 확대가 필요합니다,노인 복지 서비스 확대가 필요합니다. 담당 공무원의 안내가 부족합니다.,복지,2025-05-26,노인 복지 서비스 확대가 담당 공무원의 안내가
서류 발급 절차를 간소화해 주세요,서류 발급 절차를 간소화해 주세요. 시민 중심 서비스가 필요합니다.,행정,2025-05-27,서류 발급 절차를 간소화해 시민 중심 서비스가
재난 대응 시스템 개선이 필요합니다,재난 대응 시스템 개선이 필요합니다. 정기적인 점검이 필요합니다.,안전,2025-05-28,재난 대응 시스템 개선이 정기적인 점검이
도시 녹지 공간을 확대해 주세요,도시 녹지 공간을 확대해 주세요. 시민 참여 방안을 마련해 주세요.,환경,2025-05-28,도시 녹지 공간을 확대해 시민 참여 방안을 마련해
공무원 응대 서비스 개선이 필요합니다,공무원 응대 서비스 개선이 필요합니다. 디지털 전환이 시급합니다.,행정,2025-05-28,공무원 응대 서비스 개선이 디지털 전환이
노인 복지 서비스 확대가 필요합니다,노인 복지 서비스 확대가 필요합니다. 지역별 격차가 심각합니다.,복지,2025-05-29,노인 복지 서비스 확대가 지역별 격차가
대중교통 환승 시스템 개선이 필요합니다,대중교통 환승 시스템 개선이 필요합니다. 장기적인 계획 수립을 요청합니다.,교통,2025-05-29,대중교통 환승 시스템 개선이 장기적인 계획 수립을
의료비 지원 대상자 선정 기준을 완화해 주세요,의료비 지원 대상자 선정 기준을 완화해 주세요. 지역별 격차가 심각합니다.,복지,2025-05-29,의료비 지원 대상자 선정 기준을 완화해 지역별 격차가
의료비 지원 대상자 선정 기준을 완화해 주세요,의료비 지원 대상자 선정 기준을 완화해 주세요. 지역별 격차가 심각합니다.,복지,2025-05-30,의료비 지원 대상자 선정 기준을 완화해 지역별 격차가
노인 복지 서비스 확대가 필요합니다,노인 복지 서비스 확대가 필요합니다. 담당 공무원의 안내가 부족합니다.,복지,2025-05-30,노인 복지 서비스 확대가 담당 공무원의 안내가
충북 청주시 지역에 CCTV 설치를 요청합니다,충북 청주시 지역에 CCTV 설치를 요청합니다. 예방 대책을 마련해 주세요.,안전,2025-05-31,충북 청주시 지역에 설치를 예방 대책을 마련해
가로등이 고장난 지 오래되었습니다,가로등이 고장난 지 오래되었습니다. 주민 불안감이 증가하고 있습니다.,안전,2025-05-31,가로등이 고장난 주민 불안감이 증가하고
대중교통 환승 시스템 개선이 필요합니다,대중교통 환승 시스템 개선이 필요합니다. 사고 위험이 높아지고 있습니다.,교통,2025-05-31,대중교통 환승 시스템 개선이 사고 위험이 높아지고
의료비 지원 대상자 선정 기준을 완화해 주세요,의료비 지원 대상자 선정 기준을 완화해 주세요. 소득 기준을 현실화해야 합니다.,복지,2025-05-31,의료비 지원 대상자 선정 기준을 완화해 소득 기준을 현실화해야
가로등이 고장난 지 오래되었습니다,가로등이 고장난 지 오래되었습니다. 정기적인 점검이 필요합니다.,안전,2025-06-01,가로등이 고장난 정기적인 점검이
도시 녹지 공간을 확대해 주세요,도시 녹지 공간을 확대해 주세요. 생활 환경이 악화되고 있습니다.,환경,2025-06-02,도시 녹지 공간을 확대해 생활 환경이 악화되고
어린이 보호구역 안전시설을 강화해 주세요,어린이 보호구역 안전시설을 강화해 주세요. 예방 대책을 마련해 주세요.,안전,2025-06-03,어린이 보호구역 안전시설을 강화해 예방 대책을 마련해
경기 용인시 지역 신호등 체계 개선이 필요합니다,경기 용인시 지역 신호등 체계 개선이 필요합니다. 긴급한 대책 마련이 필요합니다.,교통,2025-06-03,경기 용인시 지역 신호등 체계 개선이 긴급한 대책 마련이
서류 발급 절차를 간소화해 주세요,서류 발급 절차를 간소화해 주세요. 시민 중심 서비스가 필요합니다.,행정,2025-06-04,서류 발급 절차를 간소화해 시민 중심 서비스가
출퇴근 시간 충북 청주시 버스 배차 간격이 너무 깁니다,출퇴근 시간 충북 청주시 버스 배차 간격이 너무 깁니다. 장기적인 계획 수립을 요청합니다.,교통,2025-06-04,출퇴근 시간 충북 청주시 버스 배차 간격이 너무 장기적인 계획 수립을
가로등이 고장난 지 오래되었습니다,가로등이 고장난 지 오래되었습니다. 신속한 조치를 요청합니다.,안전,2025-06-04,가로등이 고장난 신속한 조치를
서류 발급 절차를 간소화해 주세요,서류 발급 절차를 간소화해 주세요. 접근성을 개선해 주세요.,행정,2025-06-05,서류 발급 절차를 간소화해 접근성을 개선해
재난 대응 시스템 개선이 필요합니다,재난 대응 시스템 개선이 필요합니다. 신속한 조치를 요청합니다.,안전,2025-06-06,재난 대응 시스템 개선이 신속한 조치를
복지 지원금 신청 절차가 복잡하여 어려움을 겪고 있습니다,복지 지원금 신청 절차가 복잡하여 어려움을 겪고 있습니다. 지역별 격차가 심각합니다.,복지,2025-06-06,복지 지원금 신청 절차가 복잡하여 어려움을 겪고 지역별 격차가
의료비 지원 대상자 선정 기준을 완화해 주세요,의료비 지원 대상자 선정 기준을 완화해 주세요. 지역별 격차가 심각합니다.,복지,2025-06-07,의료비 지원 대상자 선정 기준을 완화해 지역별 격차가
어린이 보호구역 안전시설을 강화해 주세요,어린이 보호구역 안전시설을 강화해 주세요. 정기적인 점검이 필요합니다.,안전,2025-06-07,어린이 보호구역 안전시설을 강화해 정기적인 점검이
가로등이 고장난 지 오래되었습니다,가로등이 고장난 지 오래되었습니다. 사고 예방이 시급합니다.,안전,2025-06-08,가로등이 고장난 사고 예방이
생활 소음 규제를 강화해야 합니다,생활 소음 규제를 강화해야 합니다. 생활 환경이 악화되고 있습니다.,환경,2025-06-08,생활 소음 규제를 강화해야 생활 환경이 악화되고
공무원 응대 서비스 개선이 필요합니다,공무원 응대 서비스 개선이 필요합니다. 접근성을 개선해 주세요.,행정,2025-06-09,공무원 응대 서비스 개선이 접근성을 개선해
의료비 지원 대상자 선정 기준을 완화해 주세요,의료비 지원 대상자 선정 기준을 완화해 주세요. 소득 기준을 현실화해야 합니다.,복지,2025-06-10,의료비 지원 대상자 선정 기준을 완화해 소득 기준을 현실화해야
가로등이 고장난 지 오래되었습니다,가로등이 고장난 지 오래되었습니다. 주민 불안감이 증가하고 있습니다.,안전,2025-06-11,가로등이 고장난 주민 불안감이 증가하고
온라인 행정 시스템이 불편합니다,온라인 행정 시스템이 불편합니다. 투명성을 강화해야 합니다.,행정,2025-06-11,온라인 행정 시스템이 투명성을 강화해야
노인 복지 서비스 확대가 필요합니다,노인 복지 서비스 확대가 필요합니다. 소득 기준을 현실화해야 합니다.,복지,2025-06-11,노인 복지 서비스 확대가 소득 기준을 현실화해야
의료비 지원 대상자 선정 기준을 완화해 주세요,의료비 지원 대상자 선정 기준을 완화해 주세요. 지역별 격차가 심각합니다.,복지,2025-06-11,의료비 지원 대상자 선정 기준을 완화해 지역별 격차가
서류 발급 절차를 간소화해 주세요,서류 발급 절차를 간소화해 주세요. 디지털 전환이 시급합니다.,행정,2025-06-11,서류 발급 절차를 간소화해 디지털 전환이
대구 수성구 도로 포장 상태가 매우 불량합니다,대구 수성구 도로 포장 상태가 매우 불량합니다. 경제적 손실이 발생하고 있습니다.,교통,2025-06-12,대구 수성구 도로 포장 상태가 매우 경제적 손실이 발생하고
도시 녹지 공간을 확대해 주세요,도시 녹지 공간을 확대해 주세요. 시민 참여 방안을 마련해 주세요.,환경,2025-06-13,도시 녹지 공간을 확대해 시민 참여 방안을 마련해
공공시설 안전 점검을 철저히 해주세요,공공시설 안전 점검을 철저히 해주세요. 주민 불안감이 증가하고 있습니다.,안전,2025-06-13,공공시설 안전 점검을 철저히 주민 불안감이 증가하고
민원 처리 속도가 너무 느립니다,민원 처리 속도가 너무 느립니다. 디지털 전환이 시급합니다.,행정,2025-06-14,민원 처리 속도가 너무 디지털 전환이
재난 대응 시스템 개선이 필요합니다,재난 대응 시스템 개선이 필요합니다. 사고 예방이 시급합니다.,안전,2025-06-14,재난 대응 시스템 개선이 사고 예방이
출퇴근 시간 전북 전주시 버스 배차 간격이 너무 깁니다,출퇴근 시간 전북 전주시 버스 배차 간격이 너무 깁니다. 장기적인 계획 수립을 요청합니다.,교통,2025-06-16,출퇴근 시간 전북 전주시 버스 배차 간격이 너무 장기적인 계획 수립을
충북 청주시 지역 신호등 체계 개선이 필요합니다,충북 청주시 지역 신호등 체계 개선이 필요합니다. 시민들의 불편이 가중되고 있습니다.,교통,2025-06-16,충북 청주시 지역 신호등 체계 개선이 시민들의 불편이 가중되고
공무원 응대 서비스 개선이 필요합니다,공무원 응대 서비스 개선이 필요합니다. 시민 중심 서비스가 필요합니다.,행정,2025-06-16,공무원 응대 서비스 개선이 시민 중심 서비스가
노인 복지 서비스 확대가 필요합니다,노인 복지 서비스 확대가 필요합니다. 소득 기준을 현실화해야 합니다.,복지,2025-06-16,노인 복지 서비스 확대가 소득 기준을 현실화해야
행정 정보 공개를 확대해 주세요,행정 정보 공개를 확대해 주세요. 업무 효율성을 높여야 합니다.,행정,2025-06-17,행정 정보 공개를 확대해 업무 효율성을 높여야
재활용 분리수거 시스템 개선이 필요합니다,재활용 분리수거 시스템 개선이 필요합니다. 체계적인 관리가 필요합니다.,환경,2025-06-17,재활용 분리수거 시스템 개선이 체계적인 관리가
생활 소음 규제를 강화해야 합니다,생활 소음 규제를 강화해야 합니다. 생활 환경이 악화되고 있습니다.,환경,2025-06-20,생활 소음 규제를 강화해야 생활 환경이 악화되고
민원 처리 속도가 너무 느립니다,민원 처리 속도가 너무 느립니다. 접근성을 개선해 주세요.,행정,2025-06-20,민원 처리 속도가 너무 접근성을 개선해
서울 강북구 공원 관리가 제대로 되지 않고 있습니다,서울 강북구 공원 관리가 제대로 되지 않고 있습니다. 체계적인 관리가 필요합니다.,환경,2025-06-20,서울 강북구 공원 관리가 제대로 되지 않고 체계적인 관리가
재활용 분리수거 시스템 개선이 필요합니다,재활용 분리수거 시스템 개선이 필요합니다. 예산 확대가 시급합니다.,환경,2025-06-21,재활용 분리수거 시스템 개선이 예산 확대가
공공시설 안전 점검을 철저히 해주세요,공공시설 안전 점검을 철저히 해주세요. 정기적인 점검이 필요합니다.,안전,2025-06-21,공공시설 안전 점검을 철저히 정기적인 점검이
재난 대응 시스템 개선이 필요합니다,재난 대응 시스템 개선이 필요합니다. 사고 예방이 시급합니다.,안전,2025-06-21,재난 대응 시스템 개선이 사고 예방이
기초연금 수급 자격 기준이 너무 엄격합니다,기초연금 수급 자격 기준이 너무 엄격합니다. 담당 공무원의 안내가 부족합니다.,복지,2025-06-21,기초연금 수급 자격 기준이 너무 담당 공무원의 안내가
생활 소음 규제를 강화해야 합니다,생활 소음 규제를 강화해야 합니다. 주민 건강이 위협받고 있습니다.,환경,2025-06-21,생활 소음 규제를 강화해야 주민 건강이 위협받고
공무원 응대 서비스 개선이 필요합니다,공무원 응대 서비스 개선이 필요합니다. 투명성을 강화해야 합니다.,행정,2025-06-22,공무원 응대 서비스 개선이 투명성을 강화해야
온라인 행정 시스템이 불편합니다,온라인 행정 시스템이 불편합니다. 업무 효율성을 높여야 합니다.,행정,2025-06-22,온라인 행정 시스템이 업무 효율성을 높여야
공공시설 안전 점검을 철저히 해주세요,공공시설 안전 점검을 철저히 해주세요. 정기적인 점검이 필요합니다.,안전,2025-06-22,공공시설 안전 점검을 철저히 정기적인 점검이
재활용 분리수거 시스템 개선이 필요합니다,재활용 분리수거 시스템 개선이 필요합니다. 시민 참여 방안을 마련해 주세요.,환경,2025-06-22,재활용 분리수거 시스템 개선이 시민 참여 방안을 마련해
충남 천안시 공원 관리가 제대로 되지 않고 있습니다,충남 천안시 공원 관리가 제대로 되지 않고 있습니다. 예산 확대가 시급합니다.,환경,2025-06-24,충남 천안시 공원 관리가 제대로 되지 않고 예산 확대가
민원 처리 속도가 너무 느립니다,민원 처리 속도가 너무 느립니다. 투명성을 강화해야 합니다.,행정,2025-06-24,민원 처리 속도가 너무 투명성을 강화해야
충남 천안시 지역 신호등 체계 개선이 필요합니다,충남 천안시 지역 신호등 체계 개선이 필요합니다. 경제적 손실이 발생하고 있습니다.,교통,2025-06-24,충남 천안시 지역 신호등 체계 개선이 경제적 손실이 발생하고
행정 정보 공개를 확대해 주세요,행정 정보 공개를 확대해 주세요. 시민 중심 서비스가 필요합니다.,행정,2025-06-25,행정 정보 공개를 확대해 시민 중심 서비스가
기초연금 수급 자격 기준이 너무 엄격합니다,기초연금 수급 자격 기준이 너무 엄격합니다. 지역별 격차가 심각합니다.,복지,2025-06-25,기초연금 수급 자격 기준이 너무 지역별 격차가
제주시 지역 신호등 체계 개선이 필요합니다,제주시 지역 신호등 체계 개선이 필요합니다. 긴급한 대책 마련이 필요합니다.,교통,2025-06-26,제주시 지역 신호등 체계 개선이 긴급한 대책 마련이
복지 지원금 신청 절차가 복잡하여 어려움을 겪고 있습니다,복지 지원금 신청 절차가 복잡하여 어려움을 겪고 있습니다. 서류 준비 과정이 너무 복잡합니다.,복지,2025-06-27,복지 지원금 신청 절차가 복잡하여 어려움을 겪고 서류 준비 과정이 너무
대중교통 환승 시스템 개선이 필요합니다,대중교통 환승 시스템 개선이 필요합니다. 장기적인 계획 수립을 요청합니다.,교통,2025-06-29,대중교통 환승 시스템 개선이 장기적인 계획 수립을
주차 공간 부족 문제를 해결해 주세요,주차 공간 부족 문제를 해결해 주세요. 사고 위험이 높아지고 있습니다.,교통,2025-06-29,주차 공간 부족 문제를 해결해 사고 위험이 높아지고
가로등이 고장난 지 오래되었습니다,가로등이 고장난 지 오래되었습니다. 예방 대책을 마련해 주세요.,안전,2025-06-29,가로등이 고장난 예방 대책을 마련해
재활용 분리수거 시스템 개선이 필요합니다,재활용 분리수거 시스템 개선이 필요합니다. 체계적인 관리가 필요합니다.,환경,2025-06-30,재활용 분리수거 시스템 개선이 체계적인 관리가
대중교통 환승 시스템 개선이 필요합니다,대중교통 환승 시스템 개선이 필요합니다. 긴급한 대책 마련이 필요합니다.,교통,2025-07-01,대중교통 환승 시스템 개선이 긴급한 대책 마련이
세종시 지역 미세먼지 대책을 강화해 주세요,세종시 지역 미세먼지 대책을 강화해 주세요. 체계적인 관리가 필요합니다.,환경,2025-07-02,세종시 지역 미세먼지 대책을 강화해 체계적인 관리가
생활 소음 규제를 강화해야 합니다,생활 소음 규제를 강화해야 합니다. 체계적인 관리가 필요합니다.,환경,2025-07-03,생활 소음 규제를 강화해야 체계적인 관리가
대중교통 환승 시스템 개선이 필요합니다,대중교통 환승 시스템 개선이 필요합니다. 장기적인 계획 수립을 요청합니다.,교통,2025-07-03,대중교통 환승 시스템 개선이 장기적인 계획 수립을
온라인 행정 시스템이 불편합니다,온라인 행정 시스템이 불편합니다. 접근성을 개선해 주세요.,행정,2025-07-03,온라인 행정 시스템이 접근성을 개선해
충남 천안시 지역 미세먼지 대책을 강화해 주세요,충남 천안시 지역 미세먼지 대책을 강화해 주세요. 주민 건강이 위협받고 있습니다.,환경,2025-07-03,충남 천안시 지역 미세먼지 대책을 강화해 주민 건강이 위협받고
서울 강북구 지역 신호등 체계 개선이 필요합니다,서울 강북구 지역 신호등 체계 개선이 필요합니다. 장기적인 계획 수립을 요청합니다.,교통,2025-07-04,서울 강북구 지역 신호등 체계 개선이 장기적인 계획 수립을
노인 복지 서비스 확대가 필요합니다,노인 복지 서비스 확대가 필요합니다. 온라인 신청 시스템 개선이 시급합니다.,복지,2025-07-05,노인 복지 서비스 확대가 온라인 신청 시스템 개선이
기초연금 수급 자격 기준이 너무 엄격합니다,기초연금 수급 자격 기준이 너무 엄격합니다. 온라인 신청 시스템 개선이 시급합니다.,복지,2025-07-05,기초연금 수급 자격 기준이 너무 온라인 신청 시스템 개선이
보육료 지원이 실제 필요한 가정에 제대로 전달되지 않습니다,보육료 지원이 실제 필요한 가정에 제대로 전달되지 않습니다. 서류 준비 과정이 너무 복잡합니다.,복지,2025-07-07,보육료 지원이 실제 필요한 가정에 제대로 전달되지 서류 준비 과정이 너무
주차 공간 부족 문제를 해결해 주세요,주차 공간 부족 문제를 해결해 주세요. 장기적인 계획 수립을 요청합니다.,교통,2025-07-07,주차 공간 부족 문제를 해결해 장기적인 계획 수립을
온라인 행정 시스템이 불편합니다,온라인 행정 시스템이 불편합니다. 디지털 전환이 시급합니다.,행정,2025-07-07,온라인 행정 시스템이 디지털 전환이
온라인 행정 시스템이 불편합니다,온라인 행정 시스템이 불편합니다. 투명성을 강화해야 합니다.,행정,2025-07-08,온라인 행정 시스템이 투명성을 강화해야
행정 정보 공개를 확대해 주세요,행정 정보 공개를 확대해 주세요. 디지털 전환이 시급합니다.,행정,2025-07-09,행정 정보 공개를 확대해 디지털 전환이
주차 공간 부족 문제를 해결해 주세요,주차 공간 부족 문제를 해결해 주세요. 시민들의 불편이 가중되고 있습니다.,교통,2025-07-09,주차 공간 부족 문제를 해결해 시민들의 불편이 가중되고
재활용 분리수거 시스템 개선이 필요합니다,재활용 분리수거 시스템 개선이 필요합니다. 시민 참여 방안을 마련해 주세요.,환경,2025-07-09,재활용 분리수거 시스템 개선이 시민 참여 방안을 마련해
세종시 지역 신호등 체계 개선이 필요합니다,세종시 지역 신호등 체계 개선이 필요합니다. 장기적인 계획 수립을 요청합니다.,교통,2025-07-10,세종시 지역 신호등 체계 개선이 장기적인 계획 수립을
복지 지원금 신청 절차가 복잡하여 어려움을 겪고 있습니다,복지 지원금 신청 절차가 복잡하여 어려움을 겪고 있습니다. 서류 준비 과정이 너무 복잡합니다.,복지,2025-07-10,복지 지원금 신청 절차가 복잡하여 어려움을 겪고 서류 준비 과정이 너무
인천 연수구 지역 신호등 체계 개선이 필요합니다,인천 연수구 지역 신호등 체계 개선이 필요합니다. 시민들의 불편이 가중되고 있습니다.,교통,2025-07-11,인천 연수구 지역 신호등 체계 개선이 시민들의 불편이 가중되고
도시 녹지 공간을 확대해 주세요,도시 녹지 공간을 확대해 주세요. 주민 건강이 위협받고 있습니다.,환경,2025-07-11,도시 녹지 공간을 확대해 주민 건강이 위협받고
기초연금 수급 자격 기준이 너무 엄격합니다,기초연금 수급 자격 기준이 너무 엄격합니다. 서류 준비 과정이 너무 복잡합니다.,복지,2025-07-11,기초연금 수급 자격 기준이 너무 서류 준비 과정이 너무
전남 여수시 지역에 CCTV 설치를 요청합니다,전남 여수시 지역에 CCTV 설치를 요청합니다. 정기적인 점검이 필요합니다.,안전,2025-07-12,전남 여수시 지역에 설치를 정기적인 점검이
기초연금 수급 자격 기준이 너무 엄격합니다,기초연금 수급 자격 기준이 너무 엄격합니다. 소득 기준을 현실화해야 합니다.,복지,2025-07-13,기초연금 수급 자격 기준이 너무 소득 기준을 현실화해야
의료비 지원 대상자 선정 기준을 완화해 주세요,의료비 지원 대상자 선정 기준을 완화해 주세요. 소득 기준을 현실화해야 합니다.,복지,2025-07-14,의료비 지원 대상자 선정 기준을 완화해 소득 기준을 현실화해야
어린이 보호구역 안전시설을 강화해 주세요,어린이 보호구역 안전시설을 강화해 주세요. 정기적인 점검이 필요합니다.,안전,2025-07-15,어린이 보호구역 안전시설을 강화해 정기적인 점검이
출퇴근 시간 대구 수성구 버스 배차 간격이 너무 깁니다,출퇴근 시간 대구 수성구 버스 배차 간격이 너무 깁니다. 경제적 손실이 발생하고 있습니다.,교통,2025-07-15,출퇴근 시간 대구 수성구 버스 배차 간격이 너무 경제적 손실이 발생하고
생활 소음 규제를 강화해야 합니다,생활 소음 규제를 강화해야 합니다. 예산 확대가 시급합니다.,환경,2025-07-16,생활 소음 규제를 강화해야 예산 확대가
대구 수성구 지역 미세먼지 대책을 강화해 주세요,대구 수성구 지역 미세먼지 대책을 강화해 주세요. 예산 확대가 시급합니다.,환경,2025-07-16,대구 수성구 지역 미세먼지 대책을 강화해 예산 확대가
복지 지원금 신청 절차가 복잡하여 어려움을 겪고 있습니다,복지 지원금 신청 절차가 복잡하여 어려움을 겪고 있습니다. 지역별 격차가 심각합니다.,복지,2025-07-17,복지 지원금 신청 절차가 복잡하여 어려움을 겪고 지역별 격차가
가로등이 고장난 지 오래되었습니다,가로등이 고장난 지 오래되었습니다. 예방 대책을 마련해 주세요.,안전,2025-07-18,가로등이 고장난 예방 대책을 마련해
전남 여수시 지역 신호등 체계 개선이 필요합니다,전남 여수시 지역 신호등 체계 개선이 필요합니다. 경제적 손실이 발생하고 있습니다.,교통,2025-07-18,전남 여수시 지역 신호등 체계 개선이 경제적 손실이 발생하고
행정 정보 공개를 확대해 주세요,행정 정보 공개를 확대해 주세요. 디지털 전환이 시급합니다.,행정,2025-07-19,행정 정보 공개를 확대해 디지털 전환이
공공시설 안전 점검을 철저히 해주세요,공공시설 안전 점검을 철저히 해주세요. 정기적인 점검이 필요합니다.,안전,2025-07-19,공공시설 안전 점검을 철저히 정기적인 점검이
경기 용인시 도로 포장 상태가 매우 불량합니다,경기 용인시 도로 포장 상태가 매우 불량합니다. 경제적 손실이 발생하고 있습니다.,교통,2025-07-19,경기 용인시 도로 포장 상태가 매우 경제적 손실이 발생하고
충남 천안시 지역에 CCTV 설치를 요청합니다,충남 천안시 지역에 CCTV 설치를 요청합니다. 정기적인 점검이 필요합니다.,안전,2025-07-21,충남 천안시 지역에 설치를 정기적인 점검이
