제목,내용,카테고리,접수일시,processed_content
주차 공간 부족 문제를 해결해 주세요,주차 공간 부족 문제를 해결해 주세요. 긴급한 대책 마련이 필요합니다.,교통,2025-07-21,주차 공간 부족 문제를 해결해 긴급한 대책 마련이
재활용 분리수거 시스템 개선이 필요합니다,재활용 분리수거 시스템 개선이 필요합니다. 체계적인 관리가 필요합니다.,환경,2025-07-21,재활용 분리수거 시스템 개선이 체계적인 관리가
노인 복지 서비스 확대가 필요합니다,노인 복지 서비스 확대가 필요합니다. 온라인 신청 시스템 개선이 시급합니다.,복지,2025-07-22,노인 복지 서비스 확대가 온라인 신청 시스템 개선이
기초연금 수급 자격 기준이 너무 엄격합니다,기초연금 수급 자격 기준이 너무 엄격합니다. 서류 준비 과정이 너무 복잡합니다.,복지,2025-07-22,기초연금 수급 자격 기준이 너무 서류 준비 과정이 너무
출퇴근 시간 경기 성남시 버스 배차 간격이 너무 깁니다,출퇴근 시간 경기 성남시 버스 배차 간격이 너무 깁니다. 경제적 손실이 발생하고 있습니다.,교통,2025-07-22,출퇴근 시간 경기 성남시 버스 배차 간격이 너무 경제적 손실이 발생하고
생활 소음 규제를 강화해야 합니다,생활 소음 규제를 강화해야 합니다. 시민 참여 방안을 마련해 주세요.,환경,2025-07-23,생활 소음 규제를 강화해야 시민 참여 방안을 마련해
보육료 지원이 실제 필요한 가정에 제대로 전달되지 않습니다,보육료 지원이 실제 필요한 가정에 제대로 전달되지 않습니다. 서류 준비 과정이 너무 복잡합니다.,복지,2025-07-24,보육료 지원이 실제 필요한 가정에 제대로 전달되지 서류 준비 과정이 너무
대중교통 환승 시스템 개선이 필요합니다,대중교통 환승 시스템 개선이 필요합니다. 시민들의 불편이 가중되고 있습니다.,교통,2025-07-24,대중교통 환승 시스템 개선이 시민들의 불편이 가중되고
생활 소음 규제를 강화해야 합니다,생활 소음 규제를 강화해야 합니다. 시민 참여 방안을 마련해 주세요.,환경,2025-07-25,생활 소음 규제를 강화해야 시민 참여 방안을 마련해
출퇴근 시간 제주시 버스 배차 간격이 너무 깁니다,출퇴근 시간 제주시 버스 배차 간격이 너무 깁니다. 사고 위험이 높아지고 있습니다.,교통,2025-07-25,출퇴근 시간 제주시 버스 배차 간격이 너무 사고 위험이 높아지고
복지 지원금 신청 절차가 복잡하여 어려움을 겪고 있습니다,복지 지원금 신청 절차가 복잡하여 어려움을 겪고 있습니다. 지역별 격차가 심각합니다.,복지,2025-07-25,복지 지원금 신청 절차가 복잡하여 어려움을 겪고 지역별 격차가
복지 지원금 신청 절차가 복잡하여 어려움을 겪고 있습니다,복지 지원금 신청 절차가 복잡하여 어려움을 겪고 있습니다. 담당 공무원의 안내가 부족합니다.,복지,2025-07-25,복지 지원금 신청 절차가 복잡하여 어려움을 겪고 담당 공무원의 안내가
주차 공간 부족 문제를 해결해 주세요,주차 공간 부족 문제를 해결해 주세요. 경제적 손실이 발생하고 있습니다.,교통,2025-07-26,주차 공간 부족 문제를 해결해 경제적 손실이 발생하고
주차 공간 부족 문제를 해결해 주세요,주차 공간 부족 문제를 해결해 주세요. 경제적 손실이 발생하고 있습니다.,교통,2025-07-26,주차 공간 부족 문제를 해결해 경제적 손실이 발생하고
가로등이 고장난 지 오래되었습니다,가로등이 고장난 지 오래되었습니다. 사고 예방이 시급합니다.,안전,2025-07-26,가로등이 고장난 사고 예방이
온라인 행정 시스템이 불편합니다,온라인 행정 시스템이 불편합니다. 업무 효율성을 높여야 합니다.,행정,2025-07-27,온라인 행정 시스템이 업무 효율성을 높여야
복지 지원금 신청 절차가 복잡하여 어려움을 겪고 있습니다,복지 지원금 신청 절차가 복잡하여 어려움을 겪고 있습니다. 소득 기준을 현실화해야 합니다.,복지,2025-07-28,복지 지원금 신청 절차가 복잡하여 어려움을 겪고 소득 기준을 현실화해야
어린이 보호구역 안전시설을 강화해 주세요,어린이 보호구역 안전시설을 강화해 주세요. 사고 예방이 시급합니다.,안전,2025-07-28,어린이 보호구역 안전시설을 강화해 사고 예방이
주차 공간 부족 문제를 해결해 주세요,주차 공간 부족 문제를 해결해 주세요. 긴급한 대책 마련이 필요합니다.,교통,2025-07-28,주차 공간 부족 문제를 해결해 긴급한 대책 마련이
서류 발급 절차를 간소화해 주세요,서류 발급 절차를 간소화해 주세요. 시민 중심 서비스가 필요합니다.,행정,2025-07-29,서류 발급 절차를 간소화해 시민 중심 서비스가
생활 소음 규제를 강화해야 합니다,생활 소음 규제를 강화해야 합니다. 생활 환경이 악화되고 있습니다.,환경,2025-07-29,생활 소음 규제를 강화해야 생활 환경이 악화되고
행정 정보 공개를 확대해 주세요,행정 정보 공개를 확대해 주세요. 접근성을 개선해 주세요.,행정,2025-07-29,행정 정보 공개를 확대해 접근성을 개선해
공공시설 안전 점검을 철저히 해주세요,공공시설 안전 점검을 철저히 해주세요. 사고 예방이 시급합니다.,안전,2025-07-30,공공시설 안전 점검을 철저히 사고 예방이
경북 포항시 지역 신호등 체계 개선이 필요합니다,경북 포항시 지역 신호등 체계 개선이 필요합니다. 장기적인 계획 수립을 요청합니다.,교통,2025-07-30,경북 포항시 지역 신호등 체계 개선이 장기적인 계획 수립을
서류 발급 절차를 간소화해 주세요,서류 발급 절차를 간소화해 주세요. 시민 중심 서비스가 필요합니다.,행정,2025-07-31,서류 발급 절차를 간소화해 시민 중심 서비스가
공공시설 안전 점검을 철저히 해주세요,공공시설 안전 점검을 철저히 해주세요. 사고 예방이 시급합니다.,안전,2025-07-31,공공시설 안전 점검을 철저히 사고 예방이
어린이 보호구역 안전시설을 강화해 주세요,어린이 보호구역 안전시설을 강화해 주세요. 정기적인 점검이 필요합니다.,안전,2025-07-31,어린이 보호구역 안전시설을 강화해 정기적인 점검이
광주 서구 지역에 CCTV 설치를 요청합니다,광주 서구 지역에 CCTV 설치를 요청합니다. 예방 대책을 마련해 주세요.,안전,2025-07-31,광주 서구 지역에 설치를 예방 대책을 마련해
재난 대응 시스템 개선이 필요합니다,재난 대응 시스템 개선이 필요합니다. 예방 대책을 마련해 주세요.,안전,2025-07-31,재난 대응 시스템 개선이 예방 대책을 마련해
울산 남구 지역 신호등 체계 개선이 필요합니다,울산 남구 지역 신호등 체계 개선이 필요합니다. 사고 위험이 높아지고 있습니다.,교통,2025-07-31,울산 남구 지역 신호등 체계 개선이 사고 위험이 높아지고
대구 수성구 도로 포장 상태가 매우 불량합니다,대구 수성구 도로 포장 상태가 매우 불량합니다. 사고 위험이 높아지고 있습니다.,교통,2025-07-31,대구 수성구 도로 포장 상태가 매우 사고 위험이 높아지고
주차 공간 부족 문제를 해결해 주세요,주차 공간 부족 문제를 해결해 주세요. 장기적인 계획 수립을 요청합니다.,교통,2025-07-31,주차 공간 부족 문제를 해결해 장기적인 계획 수립을
충북 청주시 공원 관리가 제대로 되지 않고 있습니다,충북 청주시 공원 관리가 제대로 되지 않고 있습니다. 예산 확대가 시급합니다.,환경,2025-08-01,충북 청주시 공원 관리가 제대로 되지 않고 예산 확대가
의료비 지원 대상자 선정 기준을 완화해 주세요,의료비 지원 대상자 선정 기준을 완화해 주세요. 서류 준비 과정이 너무 복잡합니다.,복지,2025-08-04,의료비 지원 대상자 선정 기준을 완화해 서류 준비 과정이 너무
공무원 응대 서비스 개선이 필요합니다,공무원 응대 서비스 개선이 필요합니다. 투명성을 강화해야 합니다.,행정,2025-08-04,공무원 응대 서비스 개선이 투명성을 강화해야
행정 정보 공개를 확대해 주세요,행정 정보 공개를 확대해 주세요. 업무 효율성을 높여야 합니다.,행정,2025-08-05,행정 정보 공개를 확대해 업무 효율성을 높여야
민원 처리 속도가 너무 느립니다,민원 처리 속도가 너무 느립니다. 업무 효율성을 높여야 합니다.,행정,2025-08-06,민원 처리 속도가 너무 업무 효율성을 높여야
도시 녹지 공간을 확대해 주세요,도시 녹지 공간을 확대해 주세요. 주민 건강이 위협받고 있습니다.,환경,2025-08-06,도시 녹지 공간을 확대해 주민 건강이 위협받고
공무원 응대 서비스 개선이 필요합니다,공무원 응대 서비스 개선이 필요합니다. 투명성을 강화해야 합니다.,행정,2025-08-06,공무원 응대 서비스 개선이 투명성을 강화해야
서류 발급 절차를 간소화해 주세요,서류 발급 절차를 간소화해 주세요. 시민 중심 서비스가 필요합니다.,행정,2025-08-06,서류 발급 절차를 간소화해 시민 중심 서비스가
출퇴근 시간 대구 수성구 버스 배차 간격이 너무 깁니다,출퇴근 시간 대구 수성구 버스 배차 간격이 너무 깁니다. 긴급한 대책 마련이 필요합니다.,교통,2025-08-07,출퇴근 시간 대구 수성구 버스 배차 간격이 너무 긴급한 대책 마련이
인천 연수구 지역 신호등 체계 개선이 필요합니다,인천 연수구 지역 신호등 체계 개선이 필요합니다. 사고 위험이 높아지고 있습니다.,교통,2025-08-07,인천 연수구 지역 신호등 체계 개선이 사고 위험이 높아지고
경남 창원시 지역 신호등 체계 개선이 필요합니다,경남 창원시 지역 신호등 체계 개선이 필요합니다. 장기적인 계획 수립을 요청합니다.,교통,2025-08-07,경남 창원시 지역 신호등 체계 개선이 장기적인 계획 수립을
복지 지원금 신청 절차가 복잡하여 어려움을 겪고 있습니다,복지 지원금 신청 절차가 복잡하여 어려움을 겪고 있습니다. 소득 기준을 현실화해야 합니다.,복지,2025-08-09,복지 지원금 신청 절차가 복잡하여 어려움을 겪고 소득 기준을 현실화해야
재활용 분리수거 시스템 개선이 필요합니다,재활용 분리수거 시스템 개선이 필요합니다. 생활 환경이 악화되고 있습니다.,환경,2025-08-11,재활용 분리수거 시스템 개선이 생활 환경이 악화되고
공공시설 안전 점검을 철저히 해주세요,공공시설 안전 점검을 철저히 해주세요. 정기적인 점검이 필요합니다.,안전,2025-08-11,공공시설 안전 점검을 철저히 정기적인 점검이
광주 서구 지역 신호등 체계 개선이 필요합니다,광주 서구 지역 신호등 체계 개선이 필요합니다. 경제적 손실이 발생하고 있습니다.,교통,2025-08-11,광주 서구 지역 신호등 체계 개선이 경제적 손실이 발생하고
공무원 응대 서비스 개선이 필요합니다,공무원 응대 서비스 개선이 필요합니다. 시민 중심 서비스가 필요합니다.,행정,2025-08-11,공무원 응대 서비스 개선이 시민 중심 서비스가
생활 소음 규제를 강화해야 합니다,생활 소음 규제를 강화해야 합니다. 체계적인 관리가 필요합니다.,환경,2025-08-11,생활 소음 규제를 강화해야 체계적인 관리가
도시 녹지 공간을 확대해 주세요,도시 녹지 공간을 확대해 주세요. 예산 확대가 시급합니다.,환경,2025-08-11,도시 녹지 공간을 확대해 예산 확대가
민원 처리 속도가 너무 느립니다,민원 처리 속도가 너무 느립니다. 디지털 전환이 시급합니다.,행정,2025-08-12,민원 처리 속도가 너무 디지털 전환이
기초연금 수급 자격 기준이 너무 엄격합니다,기초연금 수급 자격 기준이 너무 엄격합니다. 담당 공무원의 안내가 부족합니다.,복지,2025-08-12,기초연금 수급 자격 기준이 너무 담당 공무원의 안내가
공무원 응대 서비스 개선이 필요합니다,공무원 응대 서비스 개선이 필요합니다. 업무 효율성을 높여야 합니다.,행정,2025-08-13,공무원 응대 서비스 개선이 업무 효율성을 높여야
공공시설 안전 점검을 철저히 해주세요,공공시설 안전 점검을 철저히 해주세요. 정기적인 점검이 필요합니다.,안전,2025-08-14,공공시설 안전 점검을 철저히 정기적인 점검이
주차 공간 부족 문제를 해결해 주세요,주차 공간 부족 문제를 해결해 주세요. 시민들의 불편이 가중되고 있습니다.,교통,2025-08-14,주차 공간 부족 문제를 해결해 시민들의 불편이 가중되고
출퇴근 시간 울산 남구 버스 배차 간격이 너무 깁니다,출퇴근 시간 울산 남구 버스 배차 간격이 너무 깁니다. 경제적 손실이 발생하고 있습니다.,교통,2025-08-14,출퇴근 시간 울산 남구 버스 배차 간격이 너무 경제적 손실이 발생하고
공무원 응대 서비스 개선이 필요합니다,공무원 응대 서비스 개선이 필요합니다. 투명성을 강화해야 합니다.,행정,2025-08-14,공무원 응대 서비스 개선이 투명성을 강화해야
공공시설 안전 점검을 철저히 해주세요,공공시설 안전 점검을 철저히 해주세요. 신속한 조치를 요청합니다.,안전,2025-08-15,공공시설 안전 점검을 철저히 신속한 조치를
인천 연수구 지역에 CCTV 설치를 요청합니다,인천 연수구 지역에 CCTV 설치를 요청합니다. 사고 예방이 시급합니다.,안전,2025-08-15,인천 연수구 지역에 설치를 사고 예방이
인천 연수구 지역에 CCTV 설치를 요청합니다,인천 연수구 지역에 CCTV 설치를 요청합니다. 정기적인 점검이 필요합니다.,안전,2025-08-16,인천 연수구 지역에 설치를 정기적인 점검이
공공시설 안전 점검을 철저히 해주세요,공공시설 안전 점검을 철저히 해주세요. 주민 불안감이 증가하고 있습니다.,안전,2025-08-16,공공시설 안전 점검을 철저히 주민 불안감이 증가하고
행정 정보 공개를 확대해 주세요,행정 정보 공개를 확대해 주세요. 업무 효율성을 높여야 합니다.,행정,2025-08-17,행정 정보 공개를 확대해 업무 효율성을 높여야
보육료 지원이 실제 필요한 가정에 제대로 전달되지 않습니다,보육료 지원이 실제 필요한 가정에 제대로 전달되지 않습니다. 지역별 격차가 심각합니다.,복지,2025-08-18,보육료 지원이 실제 필요한 가정에 제대로 전달되지 지역별 격차가
행정 정보 공개를 확대해 주세요,행정 정보 공개를 확대해 주세요. 투명성을 강화해야 합니다.,행정,2025-08-18,행정 정보 공개를 확대해 투명성을 강화해야
노인 복지 서비스 확대가 필요합니다,노인 복지 서비스 확대가 필요합니다. 지역별 격차가 심각합니다.,복지,2025-08-18,노인 복지 서비스 확대가 지역별 격차가
보육료 지원이 실제 필요한 가정에 제대로 전달되지 않습니다,보육료 지원이 실제 필요한 가정에 제대로 전달되지 않습니다. 서류 준비 과정이 너무 복잡합니다.,복지,2025-08-19,보육료 지원이 실제 필요한 가정에 제대로 전달되지 서류 준비 과정이 너무
노인 복지 서비스 확대가 필요합니다,노인 복지 서비스 확대가 필요합니다. 서류 준비 과정이 너무 복잡합니다.,복지,2025-08-20,노인 복지 서비스 확대가 서류 준비 과정이 너무
대중교통 환승 시스템 개선이 필요합니다,대중교통 환승 시스템 개선이 필요합니다. 사고 위험이 높아지고 있습니다.,교통,2025-08-20,대중교통 환승 시스템 개선이 사고 위험이 높아지고
서류 발급 절차를 간소화해 주세요,서류 발급 절차를 간소화해 주세요. 접근성을 개선해 주세요.,행정,2025-08-21,서류 발급 절차를 간소화해 접근성을 개선해
의료비 지원 대상자 선정 기준을 완화해 주세요,의료비 지원 대상자 선정 기준을 완화해 주세요. 담당 공무원의 안내가 부족합니다.,복지,2025-08-21,의료비 지원 대상자 선정 기준을 완화해 담당 공무원의 안내가
복지 지원금 신청 절차가 복잡하여 어려움을 겪고 있습니다,복지 지원금 신청 절차가 복잡하여 어려움을 겪고 있습니다. 소득 기준을 현실화해야 합니다.,복지,2025-08-21,복지 지원금 신청 절차가 복잡하여 어려움을 겪고 소득 기준을 현실화해야
광주 서구 지역에 CCTV 설치를 요청합니다,광주 서구 지역에 CCTV 설치를 요청합니다. 신속한 조치를 요청합니다.,안전,2025-08-21,광주 서구 지역에 설치를 신속한 조치를
대중교통 환승 시스템 개선이 필요합니다,대중교통 환승 시스템 개선이 필요합니다. 경제적 손실이 발생하고 있습니다.,교통,2025-08-24,대중교통 환승 시스템 개선이 경제적 손실이 발생하고
노인 복지 서비스 확대가 필요합니다,노인 복지 서비스 확대가 필요합니다. 지역별 격차가 심각합니다.,복지,2025-08-25,노인 복지 서비스 확대가 지역별 격차가
민원 처리 속도가 너무 느립니다,민원 처리 속도가 너무 느립니다. 업무 효율성을 높여야 합니다.,행정,2025-08-26,민원 처리 속도가 너무 업무 효율성을 높여야
공공시설 안전 점검을 철저히 해주세요,공공시설 안전 점검을 철저히 해주세요. 예방 대책을 마련해 주세요.,안전,2025-08-26,공공시설 안전 점검을 철저히 예방 대책을 마련해
대구 수성구 도로 포장 상태가 매우 불량합니다,대구 수성구 도로 포장 상태가 매우 불량합니다. 긴급한 대책 마련이 필요합니다.,교통,2025-08-26,대구 수성구 도로 포장 상태가 매우 긴급한 대책 마련이
출퇴근 시간 충북 청주시 버스 배차 간격이 너무 깁니다,출퇴근 시간 충북 청주시 버스 배차 간격이 너무 깁니다. 긴급한 대책 마련이 필요합니다.,교통,2025-08-27,출퇴근 시간 충북 청주시 버스 배차 간격이 너무 긴급한 대책 마련이
행정 정보 공개를 확대해 주세요,행정 정보 공개를 확대해 주세요. 업무 효율성을 높여야 합니다.,행정,2025-08-27,행정 정보 공개를 확대해 업무 효율성을 높여야
노인 복지 서비스 확대가 필요합니다,노인 복지 서비스 확대가 필요합니다. 소득 기준을 현실화해야 합니다.,복지,2025-08-28,노인 복지 서비스 확대가 소득 기준을 현실화해야
기초연금 수급 자격 기준이 너무 엄격합니다,기초연금 수급 자격 기준이 너무 엄격합니다. 담당 공무원의 안내가 부족합니다.,복지,2025-08-28,기초연금 수급 자격 기준이 너무 담당 공무원의 안내가
전북 전주시 공원 관리가 제대로 되지 않고 있습니다,전북 전주시 공원 관리가 제대로 되지 않고 있습니다. 시민 참여 방안을 마련해 주세요.,환경,2025-08-29,전북 전주시 공원 관리가 제대로 되지 않고 시민 참여 방안을 마련해
복지 지원금 신청 절차가 복잡하여 어려움을 겪고 있습니다,복지 지원금 신청 절차가 복잡하여 어려움을 겪고 있습니다. 소득 기준을 현실화해야 합니다.,복지,2025-08-30,복지 지원금 신청 절차가 복잡하여 어려움을 겪고 소득 기준을 현실화해야
출퇴근 시간 울산 남구 버스 배차 간격이 너무 깁니다,출퇴근 시간 울산 남구 버스 배차 간격이 너무 깁니다. 사고 위험이 높아지고 있습니다.,교통,2025-08-30,출퇴근 시간 울산 남구 버스 배차 간격이 너무 사고 위험이 높아지고
대중교통 환승 시스템 개선이 필요합니다,대중교통 환승 시스템 개선이 필요합니다. 긴급한 대책 마련이 필요합니다.,교통,2025-08-30,대중교통 환승 시스템 개선이 긴급한 대책 마련이
기초연금 수급 자격 기준이 너무 엄격합니다,기초연금 수급 자격 기준이 너무 엄격합니다. 담당 공무원의 안내가 부족합니다.,복지,2025-08-31,기초연금 수급 자격 기준이 너무 담당 공무원의 안내가
경기 용인시 지역 미세먼지 대책을 강화해 주세요,경기 용인시 지역 미세먼지 대책을 강화해 주세요. 시민 참여 방안을 마련해 주세요.,환경,2025-09-01,경기 용인시 지역 미세먼지 대책을 강화해 시민 참여 방안을 마련해
재활용 분리수거 시스템 개선이 필요합니다,재활용 분리수거 시스템 개선이 필요합니다. 주민 건강이 위협받고 있습니다.,환경,2025-09-01,재활용 분리수거 시스템 개선이 주민 건강이 위협받고
생활 소음 규제를 강화해야 합니다,생활 소음 규제를 강화해야 합니다. 주민 건강이 위협받고 있습니다.,환경,2025-09-02,생활 소음 규제를 강화해야 주민 건강이 위협받고
노인 복지 서비스 확대가 필요합니다,노인 복지 서비스 확대가 필요합니다. 소득 기준을 현실화해야 합니다.,복지,2025-09-04,노인 복지 서비스 확대가 소득 기준을 현실화해야
재활용 분리수거 시스템 개선이 필요합니다,재활용 분리수거 시스템 개선이 필요합니다. 체계적인 관리가 필요합니다.,환경,2025-09-04,재활용 분리수거 시스템 개선이 체계적인 관리가
보육료 지원이 실제 필요한 가정에 제대로 전달되지 않습니다,보육료 지원이 실제 필요한 가정에 제대로 전달되지 않습니다. 소득 기준을 현실화해야 합니다.,복지,2025-09-05,보육료 지원이 실제 필요한 가정에 제대로 전달되지 소득 기준을 현실화해야
공공시설 안전 점검을 철저히 해주세요,공공시설 안전 점검을 철저히 해주세요. 예방 대책을 마련해 주세요.,안전,2025-09-05,공공시설 안전 점검을 철저히 예방 대책을 마련해
공공시설 안전 점검을 철저히 해주세요,공공시설 안전 점검을 철저히 해주세요. 예방 대책을 마련해 주세요.,안전,2025-09-06,공공시설 안전 점검을 철저히 예방 대책을 마련해
의료비 지원 대상자 선정 기준을 완화해 주세요,의료비 지원 대상자 선정 기준을 완화해 주세요. 지역별 격차가 심각합니다.,복지,2025-09-06,의료비 지원 대상자 선정 기준을 완화해 지역별 격차가
재활용 분리수거 시스템 개선이 필요합니다,재활용 분리수거 시스템 개선이 필요합니다. 예산 확대가 시급합니다.,환경,2025-09-07,재활용 분리수거 시스템 개선이 예산 확대가
가로등이 고장난 지 오래되었습니다,가로등이 고장난 지 오래되었습니다. 주민 불안감이 증가하고 있습니다.,안전,2025-09-07,가로등이 고장난 주민 불안감이 증가하고
보육료 지원이 실제 필요한 가정에 제대로 전달되지 않습니다,보육료 지원이 실제 필요한 가정에 제대로 전달되지 않습니다. 서류 준비 과정이 너무 복잡합니다.,복지,2025-09-09,보육료 지원이 실제 필요한 가정에 제대로 전달되지 서류 준비 과정이 너무
보육료 지원이 실제 필요한 가정에 제대로 전달되지 않습니다,보육료 지원이 실제 필요한 가정에 제대로 전달되지 않습니다. 지역별 격차가 심각합니다.,복지,2025-09-10,보육료 지원이 실제 필요한 가정에 제대로 전달되지 지역별 격차가
대중교통 환승 시스템 개선이 필요합니다,대중교통 환승 시스템 개선이 필요합니다. 긴급한 대책 마련이 필요합니다.,교통,2025-09-12,대중교통 환승 시스템 개선이 긴급한 대책 마련이
도시 녹지 공간을 확대해 주세요,도시 녹지 공간을 확대해 주세요. 시민 참여 방안을 마련해 주세요.,환경,2025-09-12,도시 녹지 공간을 확대해 시민 참여 방안을 마련해
서울 강북구 지역에 CCTV 설치를 요청합니다,서울 강북구 지역에 CCTV 설치를 요청합니다. 예방 대책을 마련해 주세요.,안전,2025-09-17,서울 강북구 지역에 설치를 예방 대책을 마련해
출퇴근 시간 서울 강남구 버스 배차 간격이 너무 깁니다,출퇴근 시간 서울 강남구 버스 배차 간격이 너무 깁니다. 시민들의 불편이 가중되고 있습니다.,교통,2025-09-17,출퇴근 시간 서울 강남구 버스 배차 간격이 너무 시민들의 불편이 가중되고
생활 소음 규제를 강화해야 합니다,생활 소음 규제를 강화해야 합니다. 주민 건강이 위협받고 있습니다.,환경,2025-09-17,생활 소음 규제를 강화해야 주민 건강이 위협받고
생활 소음 규제를 강화해야 합니다,생활 소음 규제를 강화해야 합니다. 시민 참여 방안을 마련해 주세요.,환경,2025-09-18,생활 소음 규제를 강화해야 시민 참여 방안을 마련해
공공시설 안전 점검을 철저히 해주세요,공공시설 안전 점검을 철저히 해주세요. 주민 불안감이 증가하고 있습니다.,안전,2025-09-19,공공시설 안전 점검을 철저히 주민 불안감이 증가하고
강원 춘천시 공원 관리가 제대로 되지 않고 있습니다,강원 춘천시 공원 관리가 제대로 되지 않고 있습니다. 체계적인 관리가 필요합니다.,환경,2025-09-20,강원 춘천시 공원 관리가 제대로 되지 않고 체계적인 관리가
어린이 보호구역 안전시설을 강화해 주세요,어린이 보호구역 안전시설을 강화해 주세요. 사고 예방이 시급합니다.,안전,2025-09-20,어린이 보호구역 안전시설을 강화해 사고 예방이
보육료 지원이 실제 필요한 가정에 제대로 전달되지 않습니다,보육료 지원이 실제 필요한 가정에 제대로 전달되지 않습니다. 지역별 격차가 심각합니다.,복지,2025-09-20,보육료 지원이 실제 필요한 가정에 제대로 전달되지 지역별 격차가
재난 대응 시스템 개선이 필요합니다,재난 대응 시스템 개선이 필요합니다. 정기적인 점검이 필요합니다.,안전,2025-09-21,재난 대응 시스템 개선이 정기적인 점검이
출퇴근 시간 대구 수성구 버스 배차 간격이 너무 깁니다,출퇴근 시간 대구 수성구 버스 배차 간격이 너무 깁니다. 긴급한 대책 마련이 필요합니다.,교통,2025-09-21,출퇴근 시간 대구 수성구 버스 배차 간격이 너무 긴급한 대책 마련이
도시 녹지 공간을 확대해 주세요,도시 녹지 공간을 확대해 주세요. 예산 확대가 시급합니다.,환경,2025-09-21,도시 녹지 공간을 확대해 예산 확대가
전남 여수시 도로 포장 상태가 매우 불량합니다,전남 여수시 도로 포장 상태가 매우 불량합니다. 장기적인 계획 수립을 요청합니다.,교통,2025-09-22,전남 여수시 도로 포장 상태가 매우 장기적인 계획 수립을
충북 청주시 지역 신호등 체계 개선이 필요합니다,충북 청주시 지역 신호등 체계 개선이 필요합니다. 경제적 손실이 발생하고 있습니다.,교통,2025-09-23,충북 청주시 지역 신호등 체계 개선이 경제적 손실이 발생하고
도시 녹지 공간을 확대해 주세요,도시 녹지 공간을 확대해 주세요. 시민 참여 방안을 마련해 주세요.,환경,2025-09-24,도시 녹지 공간을 확대해 시민 참여 방안을 마련해
행정 정보 공개를 확대해 주세요,행정 정보 공개를 확대해 주세요. 접근성을 개선해 주세요.,행정,2025-09-24,행정 정보 공개를 확대해 접근성을 개선해
서류 발급 절차를 간소화해 주세요,서류 발급 절차를 간소화해 주세요. 업무 효율성을 높여야 합니다.,행정,2025-09-27,서류 발급 절차를 간소화해 업무 효율성을 높여야
